blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,matchMin,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
1,13923,28,189,48,13052,1,10,2,4,25,1,0,0,0,0,0,0,0,0,0,0,13779,36,155,32,11011,0,2,10,0,15,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1,12441,26,167,0,11163,1,8,4,4,14,3,0,0,0,0,0,0,0,0,0,0,17292,39,186,88,9609,0,4,8,2,65,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
0,13680,27,159,48,13722,0,10,6,8,11,1,0,0,0,0,0,0,0,0,0,0,17304,37,173,52,12461,1,6,10,2,14,1,0,0,0,0,0,0,0,1,1,0,57,0,0,0,0,0,0,0,0,0,1,0,0
1,11416,27,168,40,8524,1,3,3,2,254,3,0,0,0,0,0,0,0,0,0,1,14776,34,130,40,15433,0,3,3,7,20,2,0,0,0,0,0,0,0,1,1,0,30,0,0,0,0,0,0,0,1,0,0,0,0
1,12225,29,156,50,12787,1,7,2,3,11,0,0,0,0,0,0,0,0,0,0,1,14908,39,171,48,11348,0,2,7,1,10,0,0,0,0,0,0,0,0,1,1,0,37,0,0,0,0,0,0,0,0,1,0,0,0
1,12236,27,177,52,8747,0,4,7,5,7,1,0,0,0,0,0,0,0,0,0,0,17140,38,165,40,16002,1,7,4,13,14,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
1,12081,27,185,60,10055,1,4,4,5,17,0,0,0,0,0,0,0,0,0,0,0,17130,38,207,52,9616,0,4,4,3,6,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
1,11526,27,170,68,6625,0,2,6,1,9,1,0,0,0,0,0,0,0,0,0,0,15130,35,131,52,11363,1,6,2,1,14,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
1,12592,26,143,48,9325,0,6,7,7,7,15,0,0,0,0,0,0,0,1,1,0,18762,37,226,52,15453,1,7,6,9,34,1,0,0,0,0,0,0,0,0,0,1,37,0,0,1,0,0,0,0,0,0,0,0,0
1,13057,27,207,40,12936,1,6,3,2,35,0,0,0,0,0,0,0,0,0,0,0,15047,37,163,47,12896,0,3,6,3,9,12,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
0,11874,27,158,44,8476,1,7,4,6,0,2,0,0,0,0,0,0,0,0,0,0,16348,36,199,40,14976,0,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
