,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,matchMin
0,KR_6400270132,False,13893,1563,30,6.0,157,36,12992,0,5,6,4,13,0,0,0,,0,0,0,0,0,0,,0,0,True,14448,3818,32,6.4,161,44,13004,1,6,5,5,17,1,0,0,,0,0,0,0,0,0,,0,0,31
1,KR_6400678211,False,15222,2516,32,6.4,162,27,11811,1,8,6,7,26,1,0,0,,0,0,0,0,0,0,,0,0,True,14276,5376,32,6.4,166,46,8921,0,6,8,5,15,15,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,33
2,KR_6434123783,False,13725,2450,32,6.4,204,52,10995,0,2,4,2,15,0,0,0,,0,0,0,0,0,0,,0,0,True,13908,3783,32,6.4,165,52,8746,1,4,2,5,10,0,0,0,,0,0,0,0,0,0,,0,0,35
3,KR_6421409228,True,14913,2608,32,6.4,211,48,11502,1,4,2,3,15,2,0,0,,0,0,0,0,0,0,,0,0,False,13612,3502,33,6.6,195,52,8464,0,2,4,2,11,0,0,0,,0,0,0,0,0,0,,0,0,26
4,KR_6443193198,True,14186,3066,33,6.6,159,40,12746,0,6,8,5,16,2,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,False,14370,2215,32,6.4,172,56,9972,1,8,6,1,10,1,0,0,,0,0,0,0,0,0,,0,0,37
5,KR_6374567599,True,14741,2721,34,6.8,190,52,12015,1,4,3,3,0,2,0,0,,0,0,0,0,0,0,,0,0,False,13437,4117,34,6.8,190,44,10897,0,3,4,3,0,0,0,0,,0,0,0,0,0,0,,0,0,27
6,KR_6380967316,False,13328,1923,31,6.2,167,48,8574,1,3,8,3,31,1,0,0,,0,0,0,0,0,0,,0,0,True,16078,6748,33,6.6,184,47,13885,0,8,3,7,14,13,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,34
7,KR_6443740150,False,13762,2707,32,6.4,187,52,9334,0,4,6,1,11,1,0,0,,0,0,0,0,0,0,,0,0,True,14638,1328,31,6.2,166,40,10114,1,6,4,5,215,2,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,30
8,KR_6446521118,False,13964,924,31,6.2,156,47,12979,0,7,8,3,8,1,0,0,,0,0,0,0,0,0,,0,0,True,14863,3443,31,6.2,160,40,10482,1,8,7,6,12,2,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,31
9,KR_6443054346,True,12994,3259,33,6.6,181,40,10527,0,3,4,5,17,2,0,0,,0,0,0,0,0,0,,0,0,False,14078,3658,33,6.6,188,48,9199,1,4,3,3,14,4,0,0,,0,0,0,0,0,0,,0,0,36
10,KR_6365060999,True,16545,4945,33,6.6,167,43,15188,0,8,7,12,0,3,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,False,14419,3094,32,6.4,171,28,10972,1,7,8,3,0,1,0,0,,0,0,0,0,0,0,,0,0,19
11,KR_6438998041,False,14005,1845,33,6.6,164,56,9986,0,4,3,2,11,0,0,0,,0,0,0,0,0,0,,0,0,True,13320,1770,32,6.4,166,52,9106,1,3,4,2,13,0,0,0,,0,0,0,0,0,0,,0,0,28
