,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,matchMin
0,KR_6419756778,True,16971,3271,32,6.4,195,52,17175,1,8,8,16,15,5,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,False,16413,3983,30,6.0,194,40,15418,0,8,8,14,22,4,0,0,,0,0,0,0,0,0,,0,0,41
1,KR_6415275424,True,15858,3288,33,6.6,206,50,15971,0,7,5,6,15,3,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,False,15734,3644,33,6.6,213,44,14467,1,5,7,7,16,1,0,0,,0,0,0,0,0,0,,0,1,26
2,KR_6423763038,True,14794,3464,31,6.2,199,51,14166,1,5,7,12,15,1,0,0,,0,0,0,0,0,0,,0,1,False,15673,2308,32,6.4,217,40,10571,0,7,5,8,12,4,0,0,,0,0,0,0,0,0,,0,0,33
3,KR_6416730851,False,13863,2253,32,6.4,208,44,9950,1,3,4,5,12,2,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,True,14529,894,33,6.6,221,51,10191,0,4,3,4,16,2,0,0,,0,0,0,0,0,0,,0,0,21
4,KR_6421561510,False,18289,3944,32,6.4,202,28,17272,1,15,9,19,17,7,0,0,,0,0,0,0,0,0,,0,0,True,15561,2111,31,6.2,191,44,15280,0,9,15,4,16,4,0,0,,0,0,0,0,0,0,,0,0,34
5,KR_6416492046,True,16426,4486,33,6.6,206,48,18370,1,7,4,12,11,2,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1,False,14551,2856,33,6.6,217,48,13196,0,4,7,4,15,1,0,0,,0,0,0,0,0,0,,0,0,20
6,KR_6422949089,False,13291,2181,32,6.4,189,52,11424,0,2,7,2,13,4,0,0,,0,0,0,0,0,0,,0,0,True,15827,1232,33,6.6,209,43,13055,1,7,2,9,14,2,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,17
7,KR_6422970549,False,15582,2947,33,6.6,185,46,13685,0,7,5,5,24,2,0,0,,0,0,0,0,0,0,,0,1,True,15291,3171,31,6.2,225,48,13478,1,5,7,9,18,7,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,24
8,KR_6416156445,False,15422,2162,33,6.6,201,50,12496,1,6,4,7,15,1,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,True,14960,3135,34,6.8,211,73,10597,0,4,6,2,16,1,0,0,,0,0,0,0,0,0,,0,0,36
9,KR_6418358236,True,18203,3213,32,6.4,191,52,14971,0,12,6,21,11,1,0,0,,0,0,0,0,0,0,,0,0,False,14989,1414,30,6.0,192,39,15804,1,6,12,5,16,1,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,31
10,KR_6423875676,True,15576,2916,34,6.8,216,44,13009,1,6,6,8,20,8,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,False,17028,4228,32,6.4,223,48,14377,0,6,6,8,25,6,0,0,,0,0,0,0,0,0,,0,1,38
11,KR_6419955111,True,16678,4148,33,6.6,209,52,14370,0,8,4,12,13,2,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,False,15759,1109,32,6.4,238,48,11567,1,4,8,4,15,5,0,0,,0,0,0,0,0,0,,0,0,24
12,KR_6420022658,False,15474,2999,32,6.4,219,32,10426,1,5,3,8,18,5,0,0,,0,0,0,0,0,0,,0,0,True,14799,3544,32,6.4,214,48,11677,0,3,5,3,17,4,0,0,,0,0,0,0,0,0,,0,1,42
13,KR_6418684107,True,14734,2869,32,6.4,222,56,8400,0,4,4,3,39,6,0,0,,0,0,0,0,0,0,,0,0,False,14919,2709,31,6.2,212,48,14358,1,4,4,6,18,4,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,26
14,KR_6413267610,False,15724,1824,31,6.2,185,40,11520,1,8,3,13,13,5,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,True,15089,4494,33,6.6,227,52,11010,0,3,8,2,19,2,0,0,,0,0,0,0,0,0,,0,0,26
15,KR_6415183655,False,14999,3184,32,6.4,198,52,14079,0,5,13,3,18,3,0,0,,0,0,0,0,0,0,,0,0,True,18436,2766,32,6.4,195,36,14824,1,13,5,20,15,9,0,0,,0,0,0,0,0,0,,0,1,31
16,KR_6421119543,False,13774,2694,32,6.4,201,48,12317,0,3,7,6,15,4,0,0,,0,0,0,0,0,0,,0,0,True,15453,1618,31,6.2,208,44,13278,1,7,3,10,24,6,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,29
17,KR_6424434368,True,17486,3480,33,6.6,205,44,12628,1,10,3,15,14,4,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,False,14242,3732,31,6.2,209,48,11972,0,3,10,2,16,1,0,0,,0,0,0,0,0,0,,0,0,27
18,KR_6420704204,True,16284,2689,31,6.2,221,32,12912,1,6,8,5,14,4,0,0,,0,0,0,0,0,0,,0,0,False,15998,1998,31,6.2,200,36,12844,0,8,6,8,25,3,0,0,,0,0,0,0,0,0,,0,0,33
19,KR_6421488298,False,16506,3431,31,6.2,217,40,12060,1,7,8,7,12,6,0,0,,0,0,0,0,0,0,,0,0,True,16844,2129,32,6.4,219,44,17983,0,8,7,9,15,3,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,21
20,KR_6415470198,True,14464,3054,32,6.4,228,36,13614,0,3,4,4,14,3,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,False,14814,5399,32,6.4,218,44,11288,1,4,3,5,14,2,0,0,,0,0,0,0,0,0,,0,0,23
21,KR_6421900631,False,14128,3628,31,6.2,180,43,13693,0,4,10,4,17,0,0,0,,0,0,0,0,0,0,,0,0,True,18154,3714,32,6.4,206,44,14417,1,10,4,11,14,3,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,22
22,KR_6407947024,False,14593,2573,30,6.0,186,29,15714,1,5,9,10,14,5,0,0,,0,0,0,0,0,0,,0,0,True,18351,5186,33,6.6,241,48,17740,0,9,5,16,38,4,0,0,,0,0,0,0,0,0,,0,0,20
23,KR_6421485064,False,14113,2988,29,5.8,151,54,12024,0,5,9,8,66,5,0,0,,0,0,0,0,0,0,,0,0,True,16972,4507,31,6.2,220,48,14796,1,9,5,12,17,4,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,21
24,KR_6424239204,True,15518,3463,33,6.6,205,40,14264,0,7,8,6,13,3,0,0,,0,0,0,0,0,0,,0,0,False,17127,3571,33,6.6,197,44,14828,1,8,7,8,13,4,0,0,,0,0,0,0,0,0,,0,1,31
25,KR_6421327468,True,14711,2121,33,6.6,231,40,11281,0,3,4,4,13,3,0,0,,0,0,0,0,0,0,,0,0,False,14568,2588,32,6.4,203,44,7974,1,4,3,5,10,1,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,33
26,KR_6424797514,False,15577,2542,30,6.0,213,36,11416,1,6,7,5,29,3,0,0,,0,0,0,0,0,0,,0,0,True,15110,3105,31,6.2,189,36,11710,0,7,6,9,16,4,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,18
27,KR_6415351182,False,14347,1527,31,6.2,184,44,12549,1,6,9,4,13,4,0,0,,0,0,0,0,0,0,,0,0,True,16029,1434,32,6.4,217,39,18955,0,9,6,7,20,6,0,0,,0,0,0,0,0,0,,0,0,17
28,KR_6425150554,True,13922,2822,32,6.4,226,51,9110,0,1,3,2,16,3,0,0,,0,0,0,0,0,0,,0,1,False,14880,1310,33,6.6,249,47,7715,1,3,1,6,13,4,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,24
29,KR_6418130980,False,14868,3263,34,6.8,216,56,9288,0,4,3,5,42,3,0,0,,0,0,0,0,0,0,,0,1,True,15120,2305,33,6.6,241,44,8174,1,3,4,3,20,5,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,25
