,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
0,True,1,0,0,1,41,558,0.40000000000000036,1,12,1757,0,2,-7,1,0,0,0,0,0,1,0,0
1,True,0,0,0,1,26,124,0.0,-7,6,1504,2,-1,-1,2,0,0,0,0,0,1,-1,1
2,True,1,0,0,0,33,-879,-0.20000000000000018,-18,11,3595,-2,4,3,-3,0,0,0,0,0,0,1,0
3,False,1,0,0,1,21,-666,-0.1999999999999993,-13,-7,-241,-1,1,-4,0,0,0,0,0,0,1,0,0
4,False,1,0,0,0,34,2728,0.20000000000000018,11,-16,1992,6,15,1,3,0,0,0,0,0,0,0,1
5,True,1,0,0,1,20,1875,0.0,-11,0,5174,3,8,-4,1,0,0,0,0,0,1,1,1
6,False,0,0,0,0,17,-2536,-0.1999999999999993,-20,9,-1631,-5,-7,-1,2,0,0,0,0,0,-1,0,0
7,False,0,0,0,0,24,291,0.39999999999999947,-40,-2,207,2,-4,6,-5,0,0,0,0,0,-1,1,1
8,False,1,0,0,1,36,462,-0.20000000000000018,-10,-23,1899,2,5,-1,0,0,0,0,0,0,1,1,1
9,True,0,0,0,0,31,3214,0.40000000000000036,-1,13,-833,6,16,-5,0,0,0,0,0,0,-1,0,1
10,True,1,0,0,1,38,-1452,0.39999999999999947,-7,-4,-1368,0,0,-5,2,0,0,0,0,0,1,-1,0
11,True,0,0,0,1,24,919,0.1999999999999993,-29,4,2803,4,8,-2,-3,0,0,0,0,0,1,0,1
12,False,1,0,0,0,42,675,0.0,5,-16,-1251,2,5,1,1,0,0,0,0,0,0,-1,1
13,True,0,0,0,0,26,-185,0.20000000000000018,10,8,-5958,0,-3,21,2,0,0,0,0,0,-1,0,0
14,False,1,0,0,1,26,635,-0.39999999999999947,-42,-12,510,5,11,-6,3,0,0,0,0,0,1,0,1
15,False,0,0,0,0,31,-3437,0.0,3,16,-745,-8,-17,3,-6,0,0,0,0,0,0,-1,0
16,False,0,0,0,0,29,-1679,0.20000000000000018,-7,4,-961,-4,-4,-9,-2,0,0,0,0,0,-1,0,0
17,True,1,0,0,1,27,3244,0.39999999999999947,-4,-4,656,7,13,-2,3,0,0,0,0,0,1,0,1
18,True,1,0,0,0,33,286,0.0,21,-4,68,-2,-3,-11,1,0,0,0,0,0,0,0,0
19,False,1,0,0,0,21,-338,-0.20000000000000018,-2,-4,-5923,-1,-2,-3,3,0,0,0,0,0,-1,0,0
20,True,0,0,0,1,23,-350,0.0,10,-8,2326,-1,-1,0,1,0,0,0,0,0,1,0,0
21,False,0,0,0,0,22,-4026,-0.20000000000000018,-26,-1,-724,-6,-7,3,-3,0,0,0,0,0,-1,0,0
22,False,1,0,0,0,20,-3758,-0.5999999999999996,-55,-19,-2026,-4,-6,-24,1,0,0,0,0,0,0,0,0
23,False,0,0,0,0,21,-2859,-0.40000000000000036,-69,6,-2772,-4,-4,49,1,0,0,0,0,0,-1,0,0
24,True,0,0,0,0,31,-1609,0.0,8,-4,-564,-1,-2,0,-1,0,0,0,0,0,0,-1,0
25,True,0,0,0,0,33,143,0.1999999999999993,28,-4,3307,-1,-1,3,2,0,0,0,0,0,-1,0,0
26,False,1,0,0,0,18,467,-0.20000000000000018,24,0,-294,-1,-4,13,-1,0,0,0,0,0,-1,0,0
27,False,1,0,0,0,17,-1682,-0.20000000000000018,-33,5,-6406,-3,-3,-7,-2,0,0,0,0,0,0,0,0
28,True,0,0,0,0,24,-958,-0.1999999999999993,-23,4,1395,-2,-4,3,-1,0,0,0,0,0,-1,1,0
29,False,0,0,0,0,25,-252,0.20000000000000018,-25,12,1114,1,2,22,-2,0,0,0,0,0,-1,1,1
30,True,0,0,0,1,36,375,-0.1999999999999993,12,4,1878,0,2,10,0,0,0,0,0,0,1,1,0
31,False,0,0,0,0,17,-2771,0.0,-10,-4,-1318,-5,-8,-10,0,0,0,0,0,0,0,0,0
32,False,0,0,0,0,32,-2058,0.0,-22,7,-2499,-4,-5,-2,-1,0,0,0,0,0,0,1,0
33,False,0,0,0,0,21,-338,0.20000000000000018,-11,3,-3493,-1,-2,11,4,0,0,0,0,0,-1,0,0
34,False,0,0,0,0,30,112,0.20000000000000018,-24,4,-486,3,0,-6,-1,0,0,0,0,0,-1,-1,1
35,True,1,0,0,0,30,876,0.20000000000000018,-13,-12,307,3,3,6,0,0,0,0,0,0,-1,-1,1
36,True,0,0,0,1,24,993,0.40000000000000036,-11,20,-1275,1,7,-39,-1,0,0,0,0,0,1,0,1
37,True,0,0,0,1,23,1357,0.39999999999999947,20,-4,3427,2,4,-6,4,0,0,0,0,0,1,0,1
38,False,1,0,0,0,21,1220,0.39999999999999947,4,9,1646,2,0,1,-3,0,0,0,0,0,0,1,1
39,True,1,0,0,0,25,4843,0.5999999999999996,20,-4,2198,9,13,0,1,0,0,0,0,0,0,0,1
40,False,0,0,0,0,36,1905,0.20000000000000018,44,22,2943,0,0,-4,-4,0,0,0,0,0,-1,1,0
41,False,0,0,0,0,26,2259,0.0,30,-26,-1051,3,4,-7,-1,0,0,0,0,0,0,-1,1
42,False,0,0,0,0,19,-2081,-0.40000000000000036,-46,7,76,-3,-3,-3,2,0,0,0,0,0,-1,1,0
43,True,1,0,0,0,33,468,0.0,-5,15,2521,0,3,3,-1,0,0,0,0,0,-1,1,0
44,True,1,0,0,0,24,815,0.39999999999999947,-28,14,2312,2,1,-2,1,0,0,0,0,0,0,0,1
45,True,1,0,0,1,22,1795,0.20000000000000018,-15,5,4058,5,13,3,-2,0,0,0,0,0,1,-1,1
46,True,0,0,0,1,27,1248,0.20000000000000018,35,12,5917,0,0,-37,1,0,0,0,0,0,1,0,0
47,True,1,0,0,1,22,2932,0.1999999999999993,37,-8,1220,7,9,-1,1,0,0,0,0,0,1,-1,1
48,False,0,0,0,0,23,285,0.0,-29,-4,-2027,2,3,-5,-2,0,0,0,0,0,0,0,1
49,False,1,0,0,0,30,-874,-0.20000000000000018,-17,0,936,1,-4,-3,-2,0,0,0,0,0,0,0,1
