blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,matchMin,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
1,28431,46,361,80,25870,1,13,12,21,26,11,0,0,0,0,0,0,0,1,2,1,26004,44,366,72,24614,0,12,13,19,41,9,1,0,1,0,0,1,0,0,0,0,41,1,0,1,0,0,0,0,0,0,0,0,0
1,28714,45,334,82,37285,0,18,11,22,31,10,0,0,0,0,0,0,0,1,1,0,26833,43,339,64,29893,1,11,18,19,28,5,1,0,1,1,0,0,0,0,0,1,26,0,0,0,0,1,0,0,0,0,0,0,0
1,23253,43,365,83,25383,1,6,12,13,30,11,0,0,0,0,0,0,0,0,0,1,25109,44,381,68,23135,0,12,6,15,32,10,0,0,0,0,0,0,0,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,1
0,22236,42,314,72,20574,1,5,10,8,28,8,0,0,0,0,0,0,0,1,1,1,25761,46,381,75,25777,0,10,5,9,33,10,0,0,0,0,0,0,0,0,1,0,21,1,0,0,0,0,0,0,0,0,0,0,1
0,28362,44,367,52,28946,1,19,9,24,30,13,0,0,0,0,0,0,0,1,1,0,23651,42,342,72,23594,0,9,19,4,32,9,1,0,1,0,1,0,0,0,0,1,34,0,0,0,1,0,0,0,0,0,0,0,0
1,28078,45,364,76,37493,1,14,6,21,23,11,0,0,0,0,0,0,0,1,2,1,23440,44,365,80,26727,0,6,14,8,27,3,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,1,0,0,0,0,0,0,0
0,21008,40,302,80,24497,0,3,16,4,28,8,0,0,0,0,0,0,0,0,0,0,27861,46,357,67,28569,1,16,3,18,31,11,1,0,1,0,0,1,0,1,2,1,17,0,0,0,0,0,0,0,0,0,1,1,0
0,24864,43,308,62,25130,0,12,9,12,46,5,0,0,0,0,0,0,0,0,0,1,27054,44,400,87,27590,1,9,12,15,35,11,1,0,1,0,1,0,0,1,1,0,24,0,0,0,0,0,0,0,1,0,0,0,0
0,26348,44,357,70,27137,1,9,9,10,34,8,0,0,0,0,0,0,0,1,1,1,25372,46,367,117,23433,0,9,9,9,30,8,1,0,1,0,1,0,0,0,1,0,36,0,0,0,0,1,0,0,1,0,0,0,0
1,29592,44,319,84,31754,0,20,14,29,25,6,0,0,0,0,0,0,0,0,1,1,26293,42,339,55,32033,1,14,20,17,31,9,0,0,0,0,0,0,0,1,1,0,31,0,0,0,0,1,0,0,0,1,0,0,0
1,24608,45,367,83,23368,1,8,8,11,37,17,0,0,0,0,0,0,0,1,1,0,27302,44,403,68,25397,0,8,8,12,45,11,0,0,0,0,0,0,0,0,0,1,38,1,0,0,0,0,0,0,0,0,0,0,0
1,28274,44,349,80,31301,0,16,9,28,32,10,1,0,1,1,0,0,0,1,2,1,27553,45,393,88,26637,1,9,16,12,36,10,0,0,0,0,0,0,0,0,0,0,24,0,0,1,1,0,0,0,0,0,0,0,0
0,24928,44,386,71,22575,1,5,5,8,29,11,0,0,0,0,0,0,0,1,1,0,24074,43,370,68,27750,0,5,5,7,33,8,1,0,1,0,0,1,0,0,0,1,42,1,0,0,0,0,0,0,0,0,0,0,0
1,25486,46,377,90,21345,0,9,5,8,74,12,0,0,0,0,0,0,0,0,1,0,23973,43,366,80,25613,1,5,9,7,30,15,0,0,0,0,0,0,0,1,1,1,26,0,0,1,0,0,0,0,0,0,1,0,0
0,25040,43,349,74,19417,1,9,7,16,28,15,0,0,0,0,0,0,0,1,1,1,25069,44,395,83,21013,0,7,9,8,36,6,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0
0,27509,44,322,76,31565,0,13,16,18,31,8,0,0,0,0,0,0,0,0,0,0,27920,42,331,60,27127,1,16,13,25,32,12,1,0,1,0,0,1,0,1,1,1,31,0,0,0,0,0,0,1,0,0,0,0,0
0,22466,42,321,68,26494,0,6,12,9,28,6,0,0,0,0,0,0,0,0,0,1,24387,41,320,75,29146,1,12,6,14,38,12,0,0,0,0,0,0,0,1,1,0,29,0,0,0,0,0,0,0,0,0,0,0,1
1,30097,44,368,64,28933,1,18,8,24,21,16,1,0,1,0,0,1,0,1,2,1,25281,42,365,82,26052,0,8,18,8,35,6,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,1,0,0,0,0,0,0
1,27104,41,332,44,30838,1,11,15,13,28,9,0,0,0,0,0,0,0,0,0,1,25711,42,312,48,30564,0,15,11,19,44,8,1,0,1,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
0,26733,43,351,59,26255,1,12,17,18,20,10,0,0,0,0,0,0,0,0,0,1,30052,44,362,52,43217,0,17,12,27,29,7,1,0,1,0,0,1,0,1,1,0,21,0,0,0,0,0,0,0,0,1,0,0,0
1,24787,45,385,72,28941,0,7,8,6,28,11,0,0,0,0,0,0,0,1,1,1,24595,43,375,72,21232,1,8,7,12,29,8,0,0,0,0,0,0,0,0,1,0,23,0,0,0,1,0,0,0,0,0,0,1,0
0,24734,43,321,74,22383,0,7,16,8,33,5,0,0,1,0,1,0,0,0,0,1,30181,45,355,83,24510,1,16,7,18,32,10,1,0,2,0,0,2,0,1,2,0,22,0,0,0,0,0,0,0,0,0,1,1,0
0,22548,41,310,52,26105,1,7,18,11,22,9,0,0,0,0,0,0,0,0,0,1,31109,45,402,80,35833,0,18,7,33,74,10,1,0,1,0,1,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,1
0,25172,41,257,80,27101,0,13,17,24,122,10,0,0,0,0,0,0,0,0,0,0,30771,43,355,68,35516,1,17,13,30,31,8,1,0,2,0,1,1,0,1,2,1,21,0,0,0,0,0,0,0,0,1,0,0,1
1,27271,44,330,67,34420,0,15,15,13,23,7,0,0,1,0,0,1,0,1,1,0,28779,46,322,80,34258,1,15,15,17,28,8,1,0,1,0,1,0,0,0,0,1,31,0,0,1,0,0,0,0,0,0,0,0,0
1,25569,43,368,62,26602,0,10,9,16,26,10,0,0,0,0,0,0,0,0,0,0,24033,44,342,70,16954,1,9,10,12,25,4,0,0,0,0,0,0,0,1,2,1,33,0,0,0,0,0,0,1,0,0,0,1,0
0,26678,43,360,68,21000,1,10,15,11,52,9,0,0,1,0,1,0,0,0,0,0,26671,42,323,66,25426,0,15,10,24,29,8,1,0,1,0,1,0,0,1,2,1,18,0,0,0,0,0,0,1,0,1,0,0,0
0,24600,44,322,60,24186,1,9,13,8,22,10,1,0,1,1,0,0,0,0,0,1,26488,43,379,55,34461,0,13,9,11,40,9,0,0,1,0,0,1,0,1,1,0,17,0,0,0,0,0,0,0,0,0,0,1,0
1,22475,44,376,71,18892,0,3,4,5,27,8,0,0,0,0,0,0,0,0,0,1,22678,45,419,71,16860,1,4,3,7,31,10,0,0,0,0,0,0,0,1,1,0,24,0,0,0,0,0,0,0,0,0,0,0,1
0,25847,45,348,76,22720,0,9,7,10,83,8,1,0,1,1,0,0,0,0,0,1,26001,45,389,76,18515,1,7,9,6,40,12,0,0,0,0,0,0,0,1,2,0,25,0,0,0,0,0,0,1,0,0,1,0,0
1,24373,43,374,84,19769,0,4,6,6,36,11,1,0,1,0,0,1,0,1,2,1,24086,46,374,84,19408,1,6,4,5,26,13,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,1,1,0,0,0,0,0,0
