,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds
0,KR_6419756778,True,68345,8480,68,17.0,821,234,133185,1,34,36,80,127,54,0,1,,6,3,2,1,2,1,"WATER_DRAGON,AIR_DRAGON,CHEMTECH_DRAGON",3,2,False,91465,6145,101,16.833333333333332,955,211,141510,0,36,34,74,162,59,1,0,BOT_LANE,10,5,2,3,0,0,"CHEMTECH_DRAGON,CHEMTECH_DRAGON,CHEMTECH_DRAGON",3,0
0,KR_6415275424,True,45134,6191,59,14.75,572,152,82355,0,30,17,39,64,29,0,1,,7,4,1,2,1,1,"CHEMTECH_DRAGON,HEXTECH_DRAGON,AIR_DRAGON",3,1,False,55557,3808,77,12.833333333333334,686,144,69801,1,17,30,31,64,21,1,0,MID_LANE,3,1,1,1,0,0,,0,1
0,KR_6423763038,True,59883,8226,67,16.75,672,234,112250,1,34,30,89,96,32,1,1,TOP_LANE,5,1,1,3,2,0,"EARTH_DRAGON,EARTH_DRAGON",2,2,False,67904,4897,88,14.666666666666666,785,145,108312,0,30,34,56,80,48,0,0,,6,4,1,1,0,1,"HEXTECH_DRAGON,FIRE_DRAGON",2,0
0,KR_6416730851,False,28396,2211,45,11.25,445,101,32956,1,9,19,13,43,11,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,1,True,45184,8074,66,11.0,564,116,52038,0,19,9,26,50,16,1,1,TOP_LANE,6,1,2,3,1,0,HEXTECH_DRAGON,1,1
0,KR_6421561510,False,57451,3673,67,16.75,741,157,102647,1,39,37,51,72,48,0,0,,3,3,0,0,0,1,"EARTH_DRAGON,WATER_DRAGON,WATER_DRAGON",3,1,True,78446,7570,96,16.0,813,189,134000,0,37,39,70,97,33,1,1,TOP_LANE,10,5,3,2,2,0,FIRE_DRAGON,1,1
0,KR_6416492046,True,34282,3333,47,11.75,492,126,45931,1,17,8,24,38,16,0,0,,3,1,1,1,0,1,"AIR_DRAGON,CHEMTECH_DRAGON,HEXTECH_DRAGON",3,2,False,37589,4349,61,10.166666666666666,530,92,39358,0,8,17,12,39,9,1,0,MID_LANE,2,1,1,0,0,0,,0,0
0,KR_6422949089,False,19063,1587,36,9.0,332,88,21682,0,3,16,4,32,9,0,0,,0,0,0,0,0,0,,0,0,True,34680,5240,55,9.166666666666666,400,83,33823,1,16,3,18,38,13,1,0,BOT_LANE,2,0,1,1,0,1,"CHEMTECH_DRAGON,EARTH_DRAGON",2,1
0,KR_6422970549,False,32054,3549,47,11.75,460,82,42795,0,16,27,23,96,20,0,0,,1,0,0,1,0,0,AIR_DRAGON,1,1,True,58824,7855,74,12.333333333333334,621,191,71219,1,27,16,51,69,33,1,0,TOP_LANE,9,3,3,3,0,1,"FIRE_DRAGON,WATER_DRAGON",2,1
0,KR_6416156445,False,64476,3409,68,17.0,851,218,106269,1,32,30,61,106,51,0,0,,3,2,1,0,0,1,CHEMTECH_DRAGON,1,2,True,82396,8696,98,16.333333333333332,937,228,123499,0,30,32,54,113,52,1,1,TOP_LANE,12,5,2,5,2,0,"FIRE_DRAGON,AIR_DRAGON,AIR_DRAGON,AIR_DRAGON",4,0
0,KR_6418358236,True,56335,6173,62,15.5,564,229,113080,0,40,39,62,87,42,1,1,MID_LANE,5,4,1,0,2,0,"CHEMTECH_DRAGON,HEXTECH_DRAGON",2,1,False,69966,4039,85,14.166666666666666,703,125,122818,1,39,40,63,90,48,0,0,,5,2,1,2,0,1,"AIR_DRAGON,HEXTECH_DRAGON",2,1
0,KR_6423875676,True,67469,7722,71,17.75,823,187,126780,1,42,34,76,143,63,0,1,,7,3,2,2,1,1,"WATER_DRAGON,FIRE_DRAGON,HEXTECH_DRAGON",3,0,False,87753,6118,99,16.5,954,218,158470,0,34,42,62,153,67,1,0,MID_LANE,8,4,2,2,0,0,"HEXTECH_DRAGON,HEXTECH_DRAGON",2,2
0,KR_6419955111,True,45987,3468,57,14.25,561,152,67554,0,33,12,64,60,32,1,1,MID_LANE,6,2,1,3,1,1,"AIR_DRAGON,EARTH_DRAGON,CHEMTECH_DRAGON",3,2,False,51668,2790,69,11.5,656,124,57517,1,12,33,15,76,23,0,0,,4,1,2,1,0,0,,0,0
0,KR_6420022658,False,60990,3189,67,16.75,896,210,128254,1,20,34,41,116,55,0,0,,3,1,2,0,0,1,"WATER_DRAGON,HEXTECH_DRAGON,CHEMTECH_DRAGON",3,1,True,91921,8641,104,17.333333333333332,880,267,195450,0,34,20,98,150,60,1,1,BOT_LANE,10,6,2,2,2,0,"CHEMTECH_DRAGON,CHEMTECH_DRAGON,CHEMTECH_DRAGON",3,1
0,KR_6418684107,True,42766,4362,58,14.5,581,154,57991,0,24,13,32,151,32,1,0,TOP_LANE,5,1,2,2,0,0,"AIR_DRAGON,CHEMTECH_DRAGON",2,1,False,51239,3179,74,12.333333333333334,661,124,72031,1,13,24,16,59,39,0,0,,3,1,1,1,0,1,EARTH_DRAGON,1,1
0,KR_6413267610,False,38403,1749,51,12.75,572,134,51901,1,15,24,35,64,33,0,0,,1,0,0,1,0,1,EARTH_DRAGON,1,2,True,57813,5578,80,13.333333333333334,701,151,72550,0,24,15,52,79,21,1,0,TOP_LANE,5,3,1,1,0,0,"WATER_DRAGON,HEXTECH_DRAGON",2,0
0,KR_6415183655,False,46816,1963,56,14.0,571,181,85088,0,26,36,53,78,32,0,0,,5,3,1,1,0,0,"HEXTECH_DRAGON,EARTH_DRAGON",2,1,True,71285,8506,83,13.833333333333334,674,136,90309,1,36,26,61,79,46,1,1,BOT_LANE,8,5,1,2,2,1,"WATER_DRAGON,EARTH_DRAGON",2,1
0,KR_6421119543,False,39562,3084,55,13.75,642,144,57587,0,12,30,24,87,20,1,0,TOP_LANE,2,0,1,1,0,0,,0,1,True,61991,7662,83,13.833333333333334,643,158,91014,1,30,12,62,96,43,0,1,,7,5,0,2,1,1,"HEXTECH_DRAGON,EARTH_DRAGON,WATER_DRAGON,WATER_DRAGON",4,1
0,KR_6424434368,True,47768,7043,54,13.5,593,114,66231,1,31,24,51,54,28,1,1,BOT_LANE,7,3,3,1,2,1,"WATER_DRAGON,HEXTECH_DRAGON",2,2,False,60617,5248,81,13.5,664,160,83909,0,24,31,46,73,20,0,0,,4,2,0,2,0,0,"CHEMTECH_DRAGON,CHEMTECH_DRAGON",2,0
0,KR_6420704204,True,59035,2357,63,15.75,589,147,114131,1,37,32,60,82,44,0,0,,4,3,0,1,1,0,CHEMTECH_DRAGON,1,2,False,65526,4338,84,14.0,671,170,104889,0,32,37,45,128,32,1,1,TOP_LANE,4,2,2,0,1,1,"HEXTECH_DRAGON,AIR_DRAGON,CHEMTECH_DRAGON",3,0
0,KR_6421488298,False,32751,1690,46,11.5,480,92,38976,1,17,29,25,37,17,0,0,,1,0,1,0,0,0,,0,1,True,52497,6153,67,11.166666666666666,569,78,81406,0,29,17,49,50,11,1,0,BOT_LANE,6,3,2,1,0,1,"AIR_DRAGON,HEXTECH_DRAGON",2,1
0,KR_6415470198,True,38075,3180,53,13.25,552,138,57177,0,18,11,33,59,25,0,0,,4,1,2,1,0,1,"EARTH_DRAGON,FIRE_DRAGON",2,2,False,46714,4454,68,11.333333333333334,626,120,47821,1,11,18,19,52,21,1,0,MID_LANE,3,1,0,2,0,0,CHEMTECH_DRAGON,1,0
