blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
1,68345,68,821,234,133185,1,34,36,80,127,54,0,1,6,3,2,1,2,1,3,2,91465,101,955,211,141510,0,36,34,74,162,59,1,0,10,5,2,3,0,0,3,0,1,0,1,0,1,0,0,0,0,0,1,0
1,45134,59,572,152,82355,0,30,17,39,64,29,0,1,7,4,1,2,1,1,3,1,55557,77,686,144,69801,1,17,30,31,64,21,1,0,3,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
1,59883,67,672,234,112250,1,34,30,89,96,32,1,1,5,1,1,3,2,0,2,2,67904,88,785,145,108312,0,30,34,56,80,48,0,0,6,4,1,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1
0,28396,45,445,101,32956,1,9,19,13,43,11,0,0,0,0,0,0,0,1,1,1,45184,66,564,116,52038,0,19,9,26,50,16,1,1,6,1,2,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
0,57451,67,741,157,102647,1,39,37,51,72,48,0,0,3,3,0,0,0,1,3,1,78446,96,813,189,134000,0,37,39,70,97,33,1,1,10,5,3,2,2,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
1,34282,47,492,126,45931,1,17,8,24,38,16,0,0,3,1,1,1,0,1,3,2,37589,61,530,92,39358,0,8,17,12,39,9,1,0,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
0,19063,36,332,88,21682,0,3,16,4,32,9,0,0,0,0,0,0,0,0,0,0,34680,55,400,83,33823,1,16,3,18,38,13,1,0,2,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0
0,32054,47,460,82,42795,0,16,27,23,96,20,0,0,1,0,0,1,0,0,1,1,58824,74,621,191,71219,1,27,16,51,69,33,1,0,9,3,3,3,0,1,2,1,0,0,1,0,0,0,1,1,0,0,0,0
0,64476,68,851,218,106269,1,32,30,61,106,51,0,0,3,2,1,0,0,1,1,2,82396,98,937,228,123499,0,30,32,54,113,52,1,1,12,5,2,5,2,0,4,0,0,0,0,0,1,0,0,1,1,0,0,0
1,56335,62,564,229,113080,0,40,39,62,87,42,1,1,5,4,1,0,2,0,2,1,69966,85,703,125,122818,1,39,40,63,90,48,0,0,5,2,1,2,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,1
