gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds
KR_6419756778,TRUE,28431,5816,46,9.2,361,80,25870,1,13,12,21,26,11,0,0,,0,0,0,0,0,1,"WATER_DRAGON,AIR_DRAGON",2,1,FALSE,26004,3079,44,8.8,366,72,24614,0,12,13,19,41,9,1,0,BOT_LANE,1,0,0,1,0,0,,0,0
KR_6415275424,TRUE,28714,6069,45,9,334,82,37285,0,18,11,22,31,10,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,FALSE,26833,3668,43,8.6,339,64,29893,1,11,18,19,28,5,1,0,MID_LANE,1,1,0,0,0,0,,0,1
KR_6423763038,TRUE,23253,2203,43,8.6,365,83,25383,1,6,12,13,30,11,0,0,,0,0,0,0,0,0,,0,1,FALSE,25109,3964,44,8.8,381,68,23135,0,12,6,15,32,10,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0
KR_6416730851,FALSE,22236,4126,42,8.4,314,72,20574,1,5,10,8,28,8,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,1,TRUE,25761,4021,46,9.2,381,75,25777,0,10,5,9,33,10,0,0,,0,0,0,0,0,0,HEXTECH_DRAGON,1,0
KR_6421561510,FALSE,28362,3772,44,8.8,367,52,28946,1,19,9,24,30,13,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,TRUE,23651,3011,42,8.4,342,72,23594,0,9,19,4,32,9,1,0,TOP_LANE,1,0,1,0,0,0,,0,1
KR_6416492046,TRUE,28078,2828,45,9,364,76,37493,1,14,6,21,23,11,0,0,,0,0,0,0,0,1,"AIR_DRAGON,CHEMTECH_DRAGON",2,1,FALSE,23440,4255,44,8.8,365,80,26727,0,6,14,8,27,3,0,0,,0,0,0,0,0,0,,0,0
KR_6422949089,FALSE,21008,3133,40,8,302,80,24497,0,3,16,4,28,8,0,0,,0,0,0,0,0,0,,0,0,TRUE,27861,5806,46,9.2,357,67,28569,1,16,3,18,31,11,1,0,BOT_LANE,1,0,0,1,0,1,"CHEMTECH_DRAGON,EARTH_DRAGON",2,1
KR_6422970549,FALSE,24864,3049,43,8.6,308,62,25130,0,12,9,12,46,5,0,0,,0,0,0,0,0,0,,0,1,TRUE,27054,4264,44,8.8,400,87,27590,1,9,12,15,35,11,1,0,TOP_LANE,1,0,1,0,0,1,FIRE_DRAGON,1,0
KR_6416156445,FALSE,26348,3038,44,8.8,357,70,27137,1,9,9,10,34,8,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,TRUE,25372,3427,46,9.2,367,117,23433,0,9,9,9,30,8,1,0,TOP_LANE,1,0,1,0,0,0,FIRE_DRAGON,1,0
KR_6418358236,TRUE,29592,3447,44,8.8,319,84,31754,0,20,14,29,25,6,0,0,,0,0,0,0,0,0,CHEMTECH_DRAGON,1,1,FALSE,26293,1808,42,8.4,339,55,32033,1,14,20,17,31,9,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0
KR_6423875676,TRUE,24608,2578,45,9,367,83,23368,1,8,8,11,37,17,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,FALSE,27302,3392,44,8.8,403,68,25397,0,8,8,12,45,11,0,0,,0,0,0,0,0,0,,0,1
KR_6419955111,TRUE,28274,3464,44,8.8,349,80,31301,0,16,9,28,32,10,1,0,MID_LANE,1,1,0,0,0,1,"AIR_DRAGON,EARTH_DRAGON",2,1,FALSE,27553,2393,45,9,393,88,26637,1,9,16,12,36,10,0,0,,0,0,0,0,0,0,,0,0
KR_6420022658,FALSE,24928,4228,44,8.8,386,71,22575,1,5,5,8,29,11,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,TRUE,24074,2939,43,8.6,370,68,27750,0,5,5,7,33,8,1,0,BOT_LANE,1,0,0,1,0,0,,0,1
KR_6418684107,TRUE,25486,5006,46,9.2,377,90,21345,0,9,5,8,74,12,0,0,,0,0,0,0,0,0,AIR_DRAGON,1,0,FALSE,23973,3049,43,8.6,366,80,25613,1,5,9,7,30,15,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,1
KR_6413267610,FALSE,25040,1415,43,8.6,349,74,19417,1,9,7,16,28,15,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,1,TRUE,25069,3954,44,8.8,395,83,21013,0,7,9,8,36,6,0,0,,0,0,0,0,0,0,,0,0
KR_6415183655,FALSE,27509,3599,44,8.8,322,76,31565,0,13,16,18,31,8,0,0,,0,0,0,0,0,0,,0,0,TRUE,27920,4145,42,8.4,331,60,27127,1,16,13,25,32,12,1,0,BOT_LANE,1,0,0,1,0,1,WATER_DRAGON,1,1
KR_6421119543,FALSE,22466,2595,42,8.4,321,68,26494,0,6,12,9,28,6,0,0,,0,0,0,0,0,0,,0,1,TRUE,24387,3112,41,8.2,320,75,29146,1,12,6,14,38,12,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0
KR_6424434368,TRUE,30097,5327,44,8.8,368,64,28933,1,18,8,24,21,16,1,0,BOT_LANE,1,0,0,1,0,1,"WATER_DRAGON,HEXTECH_DRAGON",2,1,FALSE,25281,4156,42,8.4,365,82,26052,0,8,18,8,35,6,0,0,,0,0,0,0,0,0,,0,0
KR_6420704204,TRUE,27104,2524,41,8.2,332,44,30838,1,11,15,13,28,9,0,0,,0,0,0,0,0,0,,0,1,FALSE,25711,1986,42,8.4,312,48,30564,0,15,11,19,44,8,1,0,TOP_LANE,1,0,1,0,0,0,,0,0
KR_6421488298,FALSE,26733,2727,43,8.6,351,59,26255,1,12,17,18,20,10,0,0,,0,0,0,0,0,0,,0,1,TRUE,30052,4177,44,8.8,362,52,43217,0,17,12,27,29,7,1,0,BOT_LANE,1,0,0,1,0,1,AIR_DRAGON,1,0
KR_6415470198,TRUE,24787,2167,45,9,385,72,28941,0,7,8,6,28,11,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,1,FALSE,24595,3755,43,8.6,375,72,21232,1,8,7,12,29,8,0,0,,0,0,0,0,0,0,CHEMTECH_DRAGON,1,0
KR_6421900631,FALSE,24734,4834,43,8.6,321,74,22383,0,7,16,8,33,5,0,0,,1,0,1,0,0,0,,0,1,TRUE,30181,3311,45,9,355,83,24510,1,16,7,18,32,10,1,0,BOT_LANE,2,0,0,2,0,1,"CHEMTECH_DRAGON,EARTH_DRAGON",2,0
KR_6407947024,FALSE,22548,1203,41,8.2,310,52,26105,1,7,18,11,22,9,0,0,,0,0,0,0,0,0,,0,1,TRUE,31109,5774,45,9,402,80,35833,0,18,7,33,74,10,1,0,TOP_LANE,1,0,1,0,0,1,HEXTECH_DRAGON,1,0
KR_6421485064,FALSE,25172,3057,41,8.2,257,80,27101,0,13,17,24,122,10,0,0,,0,0,0,0,0,0,,0,0,TRUE,30771,5511,43,8.6,355,68,35516,1,17,13,30,31,8,1,0,BOT_LANE,2,0,1,1,0,1,"AIR_DRAGON,HEXTECH_DRAGON",2,1
KR_6424239204,TRUE,27271,2526,44,8.8,330,67,34420,0,15,15,13,23,7,0,0,,1,0,0,1,0,1,AIR_DRAGON,1,0,FALSE,28779,4263,46,9.2,322,80,34258,1,15,15,17,28,8,1,0,TOP_LANE,1,0,1,0,0,0,,0,1
KR_6421327468,TRUE,25569,3069,43,8.6,368,62,26602,0,10,9,16,26,10,0,0,,0,0,0,0,0,0,,0,0,FALSE,24033,2623,44,8.8,342,70,16954,1,9,10,12,25,4,0,0,,0,0,0,0,0,1,"CHEMTECH_DRAGON,WATER_DRAGON",2,1
KR_6424797514,FALSE,26678,3203,43,8.6,360,68,21000,1,10,15,11,52,9,0,0,,1,0,1,0,0,0,,0,0,TRUE,26671,2396,42,8.4,323,66,25426,0,15,10,24,29,8,1,0,TOP_LANE,1,0,1,0,0,1,"AIR_DRAGON,WATER_DRAGON",2,1
KR_6415351182,FALSE,24600,5425,44,8.8,322,60,24186,1,9,13,8,22,10,1,0,MID_LANE,1,1,0,0,0,0,,0,1,TRUE,26488,3638,43,8.6,379,55,34461,0,13,9,11,40,9,0,0,,1,0,0,1,0,1,CHEMTECH_DRAGON,1,0
