blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,matchMin,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
0,11295,24,134,48,6612,0,4,6,7,11,2,0,0,0,0,0,0,0,0,0,0,16937,35,204,44,13140,1,6,4,4,17,3,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
0,12001,27,174,52,11159,1,4,10,3,35,4,0,0,0,0,0,0,0,0,0,0,19556,36,235,48,16067,0,10,4,12,20,4,0,0,0,0,0,0,0,1,1,0,29,0,0,0,0,0,0,0,0,0,0,1,0
1,13554,26,173,51,9218,0,7,2,9,16,2,0,0,0,0,0,0,0,0,0,0,16073,35,202,51,13752,1,2,7,3,15,4,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
1,11528,26,209,44,8357,1,1,2,1,10,2,0,0,0,0,0,0,0,0,0,0,14965,38,205,56,10898,0,2,1,2,14,2,0,0,0,0,0,0,0,1,1,0,38,0,0,0,0,0,0,0,0,0,0,0,1
1,11579,25,185,40,13334,0,4,2,5,28,2,0,0,0,0,0,0,0,0,0,0,15898,35,216,36,14472,1,2,4,2,18,2,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
0,11696,28,202,42,6615,0,4,7,4,14,3,0,0,0,0,0,0,0,0,0,0,18682,38,244,48,13005,1,7,4,8,86,3,0,0,0,0,0,0,0,1,1,0,25,0,0,0,0,0,0,0,1,0,0,0,0
1,13347,28,232,55,9269,1,3,1,5,18,0,0,0,0,0,0,0,0,1,1,0,14593,35,177,44,6807,0,1,3,1,12,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0
0,14499,26,190,44,11539,0,9,10,9,13,4,0,0,0,0,0,0,0,1,1,0,20050,37,176,40,17906,1,10,9,13,24,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0
1,10552,26,167,41,10501,0,1,6,1,17,2,0,0,0,0,0,0,0,0,0,1,17838,39,220,52,13837,1,6,1,8,14,6,0,0,0,0,0,0,0,1,1,0,35,0,0,0,0,0,0,0,0,0,0,1,0
0,11740,26,180,44,8958,0,4,4,2,98,2,0,0,0,0,0,0,0,0,0,0,15753,36,187,36,16776,1,4,4,4,121,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
1,11617,26,177,40,10629,1,3,7,2,11,2,0,0,0,0,0,0,0,0,0,0,16911,39,186,48,14847,0,7,3,8,13,0,0,0,0,0,0,0,0,1,1,0,31,0,0,0,0,0,0,1,0,0,0,0,0
0,11306,25,166,42,10356,1,4,4,4,13,2,0,0,0,0,0,0,0,0,0,0,16213,35,193,20,12791,0,4,4,4,16,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
0,12336,27,177,48,10845,0,4,9,4,15,1,0,0,0,0,0,0,0,1,1,0,18106,38,190,44,14650,1,9,4,8,12,3,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0
1,11854,27,171,52,10318,0,4,8,7,15,4,0,0,0,0,0,0,0,0,0,1,18425,37,212,44,17572,1,8,4,16,50,5,0,0,0,0,0,0,0,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1
1,12344,27,202,48,11467,1,3,7,5,22,4,0,0,0,0,0,0,0,1,1,0,17671,38,222,44,11910,0,7,3,8,80,4,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0
1,12985,27,191,52,10248,1,5,10,6,12,3,0,0,0,0,0,0,0,0,0,0,17841,37,172,44,13817,0,10,5,8,18,1,0,0,0,0,0,0,0,1,1,0,31,0,0,0,0,0,0,0,0,0,0,1,0
0,13061,28,191,40,10213,1,8,2,8,54,2,0,0,0,0,0,0,0,0,0,0,16428,36,192,44,14728,0,2,8,3,17,2,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
1,12118,28,191,47,13524,0,4,5,5,18,2,0,0,0,0,0,0,0,0,0,0,15888,37,194,28,13349,1,5,4,4,22,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
0,11996,27,209,60,13668,0,2,9,4,13,5,0,0,0,0,0,0,0,0,0,0,17943,38,190,48,14910,1,9,2,16,18,4,0,0,0,0,0,0,0,1,1,0,26,0,0,0,0,0,0,0,0,0,0,1,0
1,11537,27,207,48,11085,0,3,7,3,19,3,0,0,0,0,0,0,0,1,1,0,19090,38,230,54,12217,1,7,3,8,13,3,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0
1,13325,27,205,44,12489,1,9,2,12,15,2,0,0,0,0,0,0,0,1,1,0,15917,37,170,52,15447,0,2,9,0,12,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0
1,11567,26,184,52,7819,1,4,0,4,13,1,0,0,0,0,0,0,0,1,1,0,15079,37,205,48,11239,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0
1,14284,26,168,52,9549,1,7,4,10,45,4,0,0,0,0,0,0,0,1,1,1,15864,36,180,52,9979,0,4,7,2,15,3,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0
1,13587,24,161,40,12785,1,9,9,10,17,1,0,0,0,0,0,0,0,0,0,0,16924,32,161,27,17227,0,9,9,11,15,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
1,12607,26,169,43,12746,1,5,3,7,16,3,0,0,0,0,0,0,0,1,1,0,15913,34,183,40,12654,0,3,5,4,10,2,0,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0
0,12613,26,217,49,9256,0,5,2,5,13,5,0,0,0,0,0,0,0,1,1,0,16704,38,252,48,8938,1,2,5,2,14,2,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,1,0,0,0,0,0,0
0,13096,28,194,48,13834,0,6,5,6,18,2,0,0,0,0,0,0,0,0,0,0,16798,35,165,52,12719,1,5,6,10,10,5,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0
0,13895,26,186,42,10022,1,6,2,9,10,1,0,0,0,0,0,0,0,1,1,0,15663,36,198,56,10346,0,2,6,4,15,0,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,0
1,13191,27,187,40,9975,1,7,7,6,14,2,0,0,0,0,0,0,0,0,0,1,16632,35,196,35,11852,0,7,7,10,14,3,0,0,0,0,0,0,0,1,1,0,25,0,0,0,0,0,0,0,1,0,0,0,0
0,12619,28,188,43,10312,1,5,3,5,27,0,0,0,0,0,0,0,0,0,0,0,15966,38,194,52,13806,0,3,5,2,18,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
0,11092,26,208,29,10377,1,2,4,2,19,3,0,0,0,0,0,0,0,0,0,0,16141,36,186,39,14059,0,4,2,6,26,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
