,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,matchMin
0,KR_6446355599,True,24884,3061,42,8.4,352,56,23509,1,13,11,13,19,7,0,0,,0,0,0,0,0,1,"EARTH_DRAGON,WATER_DRAGON",2,0,False,24319,1549,44,8.8,325,82,25578,0,11,13,6,20,4,0,0,,0,0,0,0,0,0,,0,1,30
1,KR_6437736623,False,25361,3310,44,8.8,285,84,30645,0,14,9,11,64,6,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,True,23371,1361,41,8.2,327,75,25700,1,9,14,6,30,7,0,0,,0,0,0,0,0,0,,0,1,30
2,KR_6443271971,True,25900,1720,42,8.4,321,50,33141,1,14,10,14,26,7,0,0,,0,0,0,0,0,0,,0,1,False,24989,3819,41,8.2,300,53,30153,0,10,14,14,32,4,1,0,TOP_LANE,1,0,1,0,0,0,,0,0,28
3,KR_6441361887,False,22269,2119,42,8.4,318,53,23866,0,5,18,4,40,3,0,0,,0,0,0,0,0,0,,0,1,True,29466,7776,48,9.6,375,75,26392,1,18,5,15,19,10,1,0,TOP_LANE,1,0,1,0,0,1,WATER_DRAGON,1,0,18
4,KR_6445463724,True,25875,2395,43,8.6,344,60,23212,0,13,12,14,25,6,0,0,,0,0,0,0,0,1,"EARTH_DRAGON,HEXTECH_DRAGON",2,0,False,26702,3677,43,8.6,313,71,33375,1,12,13,15,30,6,1,0,MID_LANE,1,1,0,0,0,0,,0,1,30
5,KR_6442328072,True,29199,4854,45,9.0,365,87,31295,1,17,10,19,21,9,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1,False,23568,2638,44,8.8,286,70,23715,0,10,17,14,111,5,0,0,,0,0,0,0,0,0,,0,0,24
6,KR_6446569507,True,26129,2184,45,9.0,351,60,25430,0,11,4,12,49,2,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,False,22064,3294,43,8.6,339,88,18135,1,4,11,2,23,3,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,23
7,KR_6446713286,True,22654,4134,42,8.4,314,48,22540,0,9,14,14,31,7,0,0,,0,0,0,0,0,0,,0,0,False,25301,4366,44,8.8,343,75,31631,1,14,9,10,268,6,0,0,,0,0,0,0,0,1,"HEXTECH_DRAGON,EARTH_DRAGON",2,1,29
8,KR_6427999692,True,29799,5994,44,8.8,340,56,24690,0,15,4,19,25,6,1,0,BOT_LANE,3,2,0,1,0,1,HEXTECH_DRAGON,1,1,False,19708,1893,39,7.8,258,71,18451,1,4,15,2,28,3,0,0,,0,0,0,0,0,0,,0,0,18
9,KR_6446289786,True,31135,2871,45,9.0,337,65,29099,1,23,14,25,35,5,0,0,,0,0,0,0,0,1,"AIR_DRAGON,HEXTECH_DRAGON",2,1,False,26399,2859,43,8.6,272,92,26416,0,14,23,9,31,5,1,0,MID_LANE,1,1,0,0,0,0,,0,0,25
10,KR_6412361518,True,22407,1986,45,9.0,345,76,20723,1,6,6,2,58,9,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,False,22098,5483,44,8.8,319,84,21003,0,6,6,9,56,8,0,0,,0,0,0,0,0,0,FIRE_DRAGON,1,0,32
