,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds
0,KR_6446355599,True,20706,2148,35,8.75,327,56,21055,1,13,11,13,19,7,0,0,,0,0,0,0,0,1,"EARTH_DRAGON,WATER_DRAGON",2,0,False,28497,2462,51,8.5,350,82,28032,0,11,13,6,20,4,0,0,,0,0,0,0,0,0,,0,1
0,KR_6437736623,False,21500,2649,37,9.25,280,84,26781,0,14,9,11,64,6,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,True,27232,2022,48,8.0,332,75,29564,1,9,14,6,30,7,0,0,,0,0,0,0,0,0,,0,1
0,KR_6443271971,True,22042,787,35,8.75,290,50,30421,1,14,10,14,26,7,0,0,,0,0,0,0,0,0,,0,1,False,28847,4752,48,8.0,331,53,32873,0,10,14,14,32,4,1,0,TOP_LANE,1,0,1,0,0,0,,0,0
0,KR_6441361887,False,18249,1199,34,8.5,303,53,19175,0,5,18,4,40,3,0,0,,0,0,0,0,0,0,,0,1,True,33486,8696,56,9.333333333333334,390,75,31083,1,18,5,15,19,10,1,0,TOP_LANE,1,0,1,0,0,1,WATER_DRAGON,1,0
0,KR_6445463724,True,22139,2049,36,9.0,325,60,20891,0,13,12,14,25,6,0,0,,0,0,0,0,0,1,"EARTH_DRAGON,HEXTECH_DRAGON",2,0,False,30438,4023,50,8.333333333333334,332,71,35696,1,12,13,15,30,6,1,0,MID_LANE,1,1,0,0,0,0,,0,1
0,KR_6442328072,True,25236,4041,38,9.5,346,87,28155,1,17,10,19,21,9,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1,False,27531,3451,51,8.5,305,70,26855,0,10,17,14,111,5,0,0,,0,0,0,0,0,0,,0,0
0,KR_6446569507,True,22460,1920,38,9.5,330,60,24032,0,11,4,12,49,2,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,False,25733,3558,50,8.333333333333334,360,88,19533,1,4,11,2,23,3,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0
0,KR_6446713286,True,18897,3407,34,8.5,291,48,20422,0,9,14,14,31,7,0,0,,0,0,0,0,0,0,,0,0,False,29058,5093,52,8.666666666666666,366,75,33749,1,14,9,10,268,6,0,0,,0,0,0,0,0,1,"HEXTECH_DRAGON,EARTH_DRAGON",2,1
0,KR_6427999692,True,25501,5896,37,9.25,336,52,21778,0,15,4,19,25,6,1,0,BOT_LANE,3,2,0,1,0,1,HEXTECH_DRAGON,1,1,False,24006,1991,46,7.666666666666667,262,75,21363,1,4,15,2,28,3,0,0,,0,0,0,0,0,0,,0,0
0,KR_6446289786,True,25644,2065,38,9.5,315,65,25941,1,23,14,25,35,5,0,0,,0,0,0,0,0,1,"AIR_DRAGON,HEXTECH_DRAGON",2,1,False,31890,3665,50,8.333333333333334,294,92,29574,0,14,23,9,31,5,1,0,MID_LANE,1,1,0,0,0,0,,0,0
0,KR_6412361518,True,19139,1439,38,9.5,337,72,17413,1,6,6,2,58,9,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,False,25366,6030,51,8.5,327,88,24313,0,6,6,9,56,8,0,0,,0,0,0,0,0,0,FIRE_DRAGON,1,0
0,KR_6431480270,True,23811,1386,38,9.5,343,95,21958,1,12,9,18,23,9,1,0,TOP_LANE,2,0,2,0,0,1,EARTH_DRAGON,1,1,False,27932,3107,49,8.166666666666666,325,63,26570,0,9,12,7,23,6,0,0,,1,0,0,1,0,0,FIRE_DRAGON,1,0
0,KR_6443646082,True,21855,3885,38,9.5,328,89,19501,1,13,9,8,29,1,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,1,False,28724,4759,50,8.333333333333334,384,50,29815,0,9,13,9,22,6,0,0,,0,0,0,0,0,0,,0,0
0,KR_6437615521,True,18877,2912,37,9.25,306,68,21658,1,5,9,4,21,5,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,False,27144,3614,52,8.666666666666666,342,80,31646,0,9,5,8,29,3,0,0,,0,0,0,0,0,0,AIR_DRAGON,1,0
0,KR_6441766004,False,21304,1984,37,9.25,335,88,25092,1,9,13,17,65,5,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,True,29780,5081,51,8.5,306,72,23541,0,13,9,17,34,33,0,0,,0,0,0,0,0,0,,0,1
0,KR_6425476863,False,21086,4381,37,9.25,300,68,25260,1,12,16,9,18,9,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,True,31082,3802,53,8.833333333333334,309,64,36250,0,16,12,15,29,8,0,0,,0,0,0,0,0,0,,0,1
0,KR_6429563898,True,24028,3398,37,9.25,314,73,27697,0,13,9,12,58,9,1,0,MID_LANE,2,1,0,1,0,1,CHEMTECH_DRAGON,1,1,False,27579,2398,50,8.333333333333334,342,70,27922,1,9,13,7,30,6,0,0,,1,0,1,0,0,0,,0,0
0,KR_6446008310,False,21978,2368,37,9.25,307,77,22505,0,11,19,6,30,3,0,0,,0,0,0,0,0,0,,0,1,True,32099,4514,51,8.5,296,86,33545,1,19,11,18,28,4,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0
0,KR_6445494313,False,20659,3034,36,9.0,331,55,19752,1,8,12,9,31,6,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,1,True,27577,2442,50,8.333333333333334,327,75,28017,0,12,8,15,128,7,0,0,,0,0,0,0,0,0,,0,0
0,KR_6440418333,True,20190,3075,37,9.25,348,90,17411,1,6,6,10,67,5,0,0,,0,0,0,0,0,1,"HEXTECH_DRAGON,AIR_DRAGON",2,1,False,26407,3007,51,8.5,338,65,22970,0,6,6,7,19,29,0,0,,0,0,0,0,0,0,,0,0
0,KR_6433974555,False,18779,3084,37,9.25,293,83,17970,0,7,14,10,95,6,0,0,,0,0,0,0,0,0,,0,0,True,32820,4990,54,9.0,363,100,31588,1,14,7,18,39,6,1,0,MID_LANE,1,1,0,0,0,1,"AIR_DRAGON,HEXTECH_DRAGON",2,1
0,KR_6437281874,True,21664,7714,37,9.25,348,70,16166,0,7,8,5,16,8,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,False,26537,2922,50,8.333333333333334,342,65,26656,1,8,7,9,33,4,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0
0,KR_6432588582,True,20289,1564,36,9.0,330,52,19850,0,10,12,6,25,5,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,False,29378,3704,51,8.5,350,82,30062,1,12,10,16,25,8,0,0,,0,0,0,0,0,0,AIR_DRAGON,1,1
0,KR_6446394996,True,22928,2563,34,8.5,308,57,24452,0,11,11,13,28,6,1,0,MID_LANE,1,1,0,0,0,0,,0,1,False,27125,2835,45,7.5,320,51,28632,1,11,11,12,24,4,0,0,,0,0,0,0,0,0,,0,0
