,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,matchMin
0,KR_6400270132,False,23189,2829,43,8.6,270,56,23112,0,11,13,7,28,3,0,0,,0,0,0,0,0,0,,0,1,True,25267,3247,45,9.0,269,68,23114,1,13,11,11,33,5,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,31
1,KR_6400678211,False,23919,1954,44,8.8,271,54,23837,1,12,14,8,52,3,0,0,,0,0,0,0,0,0,,0,1,True,25805,3925,44,8.8,311,87,23547,0,14,12,8,22,21,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,33
2,KR_6434123783,False,23863,2218,44,8.8,333,76,23422,0,8,7,4,33,3,0,0,,0,0,0,0,0,0,,0,1,True,22364,3984,42,8.4,284,80,17574,1,7,8,7,16,1,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,35
3,KR_6421409228,True,25215,4010,45,9.0,350,84,24889,1,9,4,4,33,6,1,0,TOP_LANE,1,0,1,0,0,1,WATER_DRAGON,1,0,False,22825,2900,42,8.4,314,80,17807,0,4,9,6,24,3,0,0,,1,0,0,1,0,0,,0,1,26
4,KR_6443193198,True,23868,2803,45,9.0,281,64,29181,0,11,16,6,29,3,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,False,27067,5667,44,8.8,278,88,26914,1,16,11,4,13,3,1,0,TOP_LANE,3,0,2,1,0,0,,0,1,37
5,KR_6374567599,True,26824,6229,46,9.2,316,84,29498,1,12,3,11,0,5,1,0,TOP_LANE,1,0,1,0,0,1,FIRE_DRAGON,1,0,False,20244,1349,42,8.4,319,54,23272,0,3,12,3,0,3,0,0,,0,0,0,0,0,0,,0,0,27
6,KR_6380967316,False,22981,1666,43,8.6,283,80,20360,1,7,17,6,57,3,0,0,,0,0,0,0,0,0,,0,1,True,27727,6007,46,9.2,305,79,28344,0,17,7,13,26,20,1,0,BOT_LANE,2,0,1,1,0,1,CHEMTECH_DRAGON,1,0,34
7,KR_6443740150,False,22145,2160,42,8.4,311,76,21790,0,8,14,4,23,2,0,0,,0,0,0,0,0,0,,0,0,True,26514,3339,42,8.4,266,60,26943,1,14,8,16,323,9,1,0,BOT_LANE,1,0,0,1,0,1,"EARTH_DRAGON,AIR_DRAGON",2,1,30
8,KR_6446521118,False,25797,2902,43,8.6,280,79,28760,0,15,15,5,16,4,1,0,TOP_LANE,1,0,1,0,0,0,,0,0,True,24991,2466,41,8.2,269,68,22374,1,15,15,14,18,5,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,31
9,KR_6443054346,True,24305,1500,43,8.6,302,68,21543,0,10,9,12,28,6,1,0,MID_LANE,1,1,0,0,0,1,HEXTECH_DRAGON,1,0,False,23952,3362,43,8.6,310,64,19041,1,9,10,6,27,4,0,0,,1,0,1,0,0,0,,0,1,36
10,KR_6365060999,True,29005,2685,47,9.4,300,79,30831,0,17,7,17,0,9,0,0,,1,1,0,0,0,1,"WATER_DRAGON,HEXTECH_DRAGON",2,1,False,21163,2798,42,8.4,291,48,14554,1,7,17,3,0,3,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,19
11,KR_6438998041,False,22500,2245,44,8.8,271,100,20554,0,8,10,5,22,4,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,True,24758,3453,44,8.8,273,80,22894,1,10,8,12,26,4,1,0,BOT_LANE,1,0,0,1,0,0,,0,1,28
12,KR_6445896284,False,25284,6195,45,9.0,287,76,27476,0,11,5,9,138,10,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,True,20434,1724,41,8.2,245,76,21080,1,5,11,4,22,8,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,41
13,KR_6411033992,True,27646,2835,47,9.4,319,64,24928,0,15,10,12,26,9,0,0,,1,0,0,1,0,1,AIR_DRAGON,1,0,False,24695,3595,44,8.8,296,84,26135,1,10,15,7,21,5,1,0,MID_LANE,1,1,0,0,0,0,,0,1,21
14,KR_6371668953,True,25556,2596,44,8.8,278,63,24894,0,14,12,12,0,4,0,0,,0,0,0,0,0,0,,0,0,False,25042,2967,43,8.6,310,68,28842,1,12,14,10,0,10,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,40
15,KR_6431794830,False,25676,5946,42,8.4,284,67,32162,0,16,17,16,60,0,0,0,,0,0,0,0,0,0,,0,0,True,26015,4736,44,8.8,256,68,25866,1,17,16,14,27,30,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,1,25
16,KR_6411440499,False,21369,3568,41,8.2,257,40,22697,1,7,11,8,39,33,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,True,24690,2410,45,9.0,313,91,24618,0,11,7,9,83,6,0,0,,0,0,0,0,0,0,WATER_DRAGON,1,0,26
17,KR_6418778272,False,20120,1555,40,8.0,302,48,19440,0,4,20,3,15,4,0,0,,0,0,0,0,0,0,,0,0,True,30176,3046,45,9.0,293,78,28648,1,20,4,17,22,1,1,0,TOP_LANE,2,0,1,1,0,0,,0,1,18
18,KR_6393232087,True,27157,3297,44,8.8,279,68,32888,0,19,10,22,25,4,0,0,,0,0,0,0,0,0,,0,0,False,22608,3948,42,8.4,236,60,24204,1,10,19,14,181,5,0,0,,0,0,0,0,0,0,,0,1,23
19,KR_6446671997,True,20340,2325,42,8.4,240,60,19400,0,7,8,6,26,3,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,1,False,20745,3490,40,8.0,252,60,16134,1,8,7,7,32,3,0,0,,0,0,0,0,0,0,,0,0,21
20,KR_6383486639,False,21315,2720,44,8.8,265,68,15181,1,6,9,5,27,5,0,0,,0,0,0,0,0,0,,0,0,True,25355,2950,45,9.0,330,75,23208,0,9,6,9,25,6,1,0,BOT_LANE,1,0,0,1,0,1,HEXTECH_DRAGON,1,1,49
21,KR_6381851141,False,21661,2551,44,8.8,270,96,23373,0,8,9,4,22,6,0,0,,0,0,0,0,0,0,,0,0,True,24539,6868,46,9.2,296,84,28241,1,9,8,4,21,7,1,0,MID_LANE,1,1,0,0,0,1,FIRE_DRAGON,1,1,32
22,KR_6438780671,False,23081,3896,41,8.2,266,64,22485,0,10,13,9,17,4,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,True,24401,2791,43,8.6,277,96,18386,1,13,10,3,36,3,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,40
23,KR_6336592151,False,25515,1634,45,9.0,353,82,26692,1,12,10,8,201,3,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,True,26195,3885,46,9.2,288,79,25201,0,10,12,7,25,1,1,0,BOT_LANE,1,0,0,1,0,0,,0,1,42
24,KR_6422763554,False,20206,1686,42,8.4,318,68,18875,0,3,13,8,16,4,0,0,,0,0,0,0,0,0,,0,0,True,26257,3087,45,9.0,352,79,21897,1,13,3,27,23,9,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,1,30
25,KR_6362257688,False,22945,3965,42,8.4,251,44,23841,1,10,11,13,0,9,0,0,,0,0,0,0,0,0,,0,0,True,24949,2879,44,8.8,296,56,29557,0,11,10,10,0,7,0,0,,0,0,0,0,0,0,,0,0,22
26,KR_6434708070,True,28853,3723,47,9.4,350,72,33162,1,18,3,10,30,6,1,0,BOT_LANE,1,0,0,1,0,1,HEXTECH_DRAGON,1,0,False,18811,2016,42,8.4,273,48,13557,0,3,18,3,29,5,0,0,,0,0,0,0,0,0,,0,0,23
27,KR_6402578597,False,23078,3148,42,8.4,253,76,25077,1,10,15,9,16,6,0,0,,0,0,0,0,0,0,,0,0,True,26235,4880,45,9.0,285,64,31864,0,15,10,9,25,2,1,0,MID_LANE,1,1,0,0,0,0,,0,0,35
28,KR_6425419215,False,19916,1786,43,8.6,279,81,16421,0,3,9,1,21,3,0,0,,0,0,0,0,0,0,,0,0,True,25232,4372,44,8.8,332,72,15337,1,9,3,9,22,7,1,0,BOT_LANE,1,0,0,1,0,1,CHEMTECH_DRAGON,1,1,30
29,KR_6412900889,True,25731,2351,45,9.0,290,63,23452,0,9,5,10,29,24,1,0,BOT_LANE,1,0,0,1,0,1,FIRE_DRAGON,1,1,False,21101,3331,43,8.6,311,71,19419,1,5,9,6,61,4,0,0,,1,1,0,0,0,0,,0,0,32
30,KR_6386989148,True,26354,3759,42,8.4,271,63,29102,0,16,14,18,21,7,0,0,,0,0,0,0,0,0,,0,0,False,25704,3329,42,8.4,289,72,29021,1,14,16,15,32,3,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,42
31,KR_6446702800,False,22752,3192,42,8.4,240,64,22327,1,11,16,9,24,2,0,0,,0,0,0,0,0,1,"CHEMTECH_DRAGON,FIRE_DRAGON",2,1,True,27894,4039,44,8.8,250,70,34968,0,16,11,14,95,3,1,0,BOT_LANE,2,0,1,1,0,0,,0,0,32
32,KR_6446800930,True,24714,5414,42,8.4,265,56,28975,0,14,10,6,26,9,1,0,MID_LANE,1,1,0,0,0,0,,0,0,False,22091,2046,40,8.0,200,52,22808,1,10,14,9,25,4,0,0,,0,0,0,0,0,0,,0,1,23
33,KR_6368115837,True,25501,3456,45,9.0,283,79,26511,0,13,9,14,0,2,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,False,22268,1453,40,8.0,230,58,22823,1,9,13,5,0,2,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,32
34,KR_6446228479,False,22370,1305,42,8.4,303,84,18352,1,4,9,4,32,3,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1,True,21428,4272,44,8.8,267,60,21059,0,9,4,12,25,5,0,0,,0,0,0,0,0,0,,0,0,45
35,KR_6445547854,True,25483,4273,42,8.4,247,60,27716,1,16,12,17,64,0,0,0,,0,0,0,0,0,0,,0,1,False,23493,5108,42,8.4,282,56,28811,0,12,16,13,228,6,1,0,TOP_LANE,1,0,1,0,0,1,"HEXTECH_DRAGON,EARTH_DRAGON",2,0,33
36,KR_6441036607,False,20863,1153,40,8.0,255,64,17841,0,7,14,8,25,6,0,0,,0,0,0,0,0,0,,0,0,True,27250,3080,44,8.8,344,72,26449,1,14,7,15,40,8,1,0,TOP_LANE,1,0,1,0,0,1,"CHEMTECH_DRAGON,EARTH_DRAGON",2,0,23
37,KR_6433109730,False,24887,2187,42,8.4,273,66,31650,0,12,19,7,22,5,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,True,27793,3478,43,8.6,279,80,30371,1,19,12,10,22,3,1,0,MID_LANE,1,1,0,0,0,0,HEXTECH_DRAGON,1,1,34
38,KR_6383509724,True,25463,6873,45,9.0,315,63,28430,0,15,8,14,22,9,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,False,20290,2995,42,8.4,224,72,25075,1,8,15,7,25,1,0,0,,0,0,0,0,0,0,,0,0,36
39,KR_6443768809,True,27016,3126,44,8.8,294,88,23484,1,13,4,14,25,4,1,0,MID_LANE,1,1,0,0,0,1,FIRE_DRAGON,1,1,False,19805,3100,41,8.2,279,64,17727,0,4,13,6,20,2,0,0,,0,0,0,0,0,0,,0,0,28
40,KR_6443196868,False,24296,2861,43,8.6,287,84,23160,0,12,6,11,22,6,0,0,,0,0,0,0,0,0,,0,1,True,21591,3576,43,8.6,309,64,19150,1,6,12,4,27,6,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,31
41,KR_6446337642,False,19498,2483,41,8.2,249,60,21357,0,7,10,5,140,4,0,0,,0,0,0,0,0,0,,0,0,True,24663,4928,43,8.6,269,48,23318,1,10,7,9,44,3,1,0,BOT_LANE,1,0,0,1,0,1,FIRE_DRAGON,1,1,27
42,KR_6446785652,False,26226,2490,43,8.6,312,64,26377,1,15,16,7,40,2,1,0,TOP_LANE,1,0,1,0,0,0,,0,0,True,24287,1851,42,8.4,223,68,27654,0,16,15,8,35,3,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,22
43,KR_6432242610,True,24463,4023,43,8.6,256,44,29566,0,14,16,8,14,3,1,0,BOT_LANE,1,0,0,1,0,0,,0,1,False,26050,1445,46,9.2,324,80,31094,1,16,14,12,22,4,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,31
44,KR_6442925455,False,26006,2055,43,8.6,256,68,27174,1,15,13,11,30,7,0,0,,0,0,0,0,0,0,,0,1,True,26673,3552,44,8.8,339,84,24535,0,13,15,14,28,11,1,0,MID_LANE,1,1,0,0,0,0,,0,0,38
45,KR_6446690565,True,22757,3542,43,8.6,297,51,20285,0,8,8,10,27,8,0,0,,0,0,0,0,0,0,,0,0,False,22901,2206,43,8.6,331,68,20492,1,8,8,7,26,7,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,1,39
46,KR_6334756283,True,21780,4355,43,8.6,268,64,21782,1,8,11,3,23,25,0,0,,0,0,0,0,0,0,,0,0,False,23321,3228,44,8.8,271,68,25474,0,11,8,8,62,10,1,0,BOT_LANE,1,0,0,1,0,1,AIR_DRAGON,1,1,37
47,KR_6411732882,False,27035,3550,45,9.0,293,62,30656,1,17,15,14,37,6,0,0,,0,0,0,0,0,0,,0,0,True,24717,3647,44,8.8,289,40,34554,0,15,17,16,27,2,0,0,,0,0,0,0,0,0,,0,1,38
48,KR_6441234757,False,22624,5299,41,8.2,194,76,20961,1,9,12,14,28,3,0,0,,0,0,0,0,0,0,,0,1,True,25857,4262,43,8.6,292,66,33177,0,12,9,15,24,9,1,0,BOT_LANE,1,0,0,1,0,1,AIR_DRAGON,1,0,34
49,KR_6434451209,False,23903,3703,40,8.0,259,79,21377,0,10,17,11,20,1,0,0,,0,0,0,0,0,0,,0,1,True,28976,8011,46,9.2,334,72,28868,1,17,10,15,25,3,1,0,TOP_LANE,2,0,1,1,0,0,,0,0,34
50,KR_6441996018,False,21589,2594,43,8.6,318,83,20474,0,4,12,2,21,3,0,0,,0,0,0,0,0,0,,0,1,True,22869,2654,43,8.6,277,76,23032,1,12,4,14,39,3,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,34
51,KR_6393269736,True,24958,5253,43,8.6,344,50,23582,1,11,12,12,24,1,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,1,False,22790,2792,42,8.4,269,70,24376,0,12,11,17,62,8,0,0,,0,0,0,0,0,0,HEXTECH_DRAGON,1,0,42
52,KR_6442876731,True,28451,1716,44,8.8,302,59,38102,1,22,14,14,18,1,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,False,24924,2591,41,8.2,208,60,30489,0,14,22,12,19,3,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,29
53,KR_6410723961,False,19571,3701,41,8.2,247,56,16742,1,4,17,2,18,2,0,0,,0,0,0,0,0,0,,0,0,True,28331,2396,45,9.0,339,88,27190,0,17,4,9,28,2,1,0,TOP_LANE,1,0,1,0,0,1,AIR_DRAGON,1,1,24
54,KR_6402422798,False,23068,4278,45,9.0,314,83,15697,0,6,13,6,23,2,0,0,,0,0,0,0,0,0,,0,0,True,25848,4042,45,9.0,336,70,26803,1,13,6,12,22,6,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,1,28
55,KR_6381352248,False,20791,2846,42,8.4,265,60,24166,0,8,17,7,17,4,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,True,27466,3436,46,9.2,293,90,29191,1,17,8,11,30,1,1,0,TOP_LANE,1,0,1,0,0,0,,0,0,27
56,KR_6428954110,False,21900,1716,41,8.2,264,60,23384,0,5,12,8,27,7,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,True,24420,5440,42,8.4,276,67,26189,1,12,5,9,28,9,0,0,,1,0,1,0,0,0,,0,0,27
57,KR_6444868860,False,23817,2342,44,8.8,352,86,22024,0,6,12,4,20,5,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,True,23605,4015,42,8.4,292,66,22408,1,12,6,18,24,1,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,20
58,KR_6443770144,False,20345,3215,42,8.4,274,80,23037,1,5,8,2,22,4,0,0,,0,0,0,0,0,0,,0,1,True,21048,2593,41,8.2,301,44,21618,0,8,5,9,43,4,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,41
59,KR_6413441186,True,23537,4462,43,8.6,279,92,24850,0,10,13,8,18,1,0,0,,0,0,0,0,0,0,,0,0,False,26430,3960,44,8.8,243,76,22977,1,13,10,8,22,4,1,0,BOT_LANE,2,1,0,1,0,1,EARTH_DRAGON,1,1,29
60,KR_6422889287,False,21178,4274,44,8.8,342,58,16623,0,4,10,3,22,5,0,0,,0,0,0,0,0,0,,0,0,True,23504,1429,44,8.8,269,76,18637,1,10,4,12,26,4,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1,40
61,KR_6434293936,True,23666,2851,41,8.2,241,76,23887,1,11,11,15,22,6,0,0,,0,0,0,0,0,0,,0,1,False,25075,3190,44,8.8,283,68,22505,0,11,11,8,25,2,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,24
62,KR_6411974824,False,23860,2210,44,8.8,262,76,25761,1,11,10,7,34,6,0,0,,0,0,0,0,0,0,CHEMTECH_DRAGON,1,0,True,21987,4377,42,8.4,254,56,22192,0,10,11,7,27,2,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,1,47
63,KR_6370199566,True,25780,3705,47,9.4,318,76,26436,1,14,2,9,0,7,0,0,,0,0,0,0,0,1,"WATER_DRAGON,CHEMTECH_DRAGON",2,0,False,17927,3257,43,8.6,288,72,15819,0,2,14,1,0,2,0,0,,0,0,0,0,0,0,,0,0,18
64,KR_6437548317,True,25437,3322,45,9.0,340,96,23647,1,13,7,6,23,5,1,0,TOP_LANE,1,0,1,0,0,1,"HEXTECH_DRAGON,CHEMTECH_DRAGON",2,1,False,22783,4063,42,8.4,280,76,19482,0,7,13,6,23,9,0,0,,0,0,0,0,0,0,,0,0,28
65,KR_6432031382,True,24164,6483,41,8.2,232,60,25114,1,13,10,13,42,6,1,0,BOT_LANE,1,0,0,1,0,1,HEXTECH_DRAGON,1,1,False,23968,3808,43,8.6,275,68,26003,0,10,13,8,25,6,0,0,,0,0,0,0,0,0,,0,0,32
66,KR_6427303460,True,23559,3239,44,8.8,276,80,30175,1,13,15,16,22,0,0,0,,0,0,0,0,0,0,HEXTECH_DRAGON,1,0,False,24843,5243,44,8.8,252,67,29902,0,15,13,19,37,0,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,28
67,KR_6446641755,True,24470,5186,43,8.6,250,63,31552,0,12,17,15,22,2,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,False,24593,5398,45,9.0,268,60,30475,1,17,12,7,21,3,0,0,,0,0,0,0,0,0,,0,0,29
68,KR_6425668233,False,23401,3671,43,8.6,286,79,16899,1,6,11,7,23,4,1,0,BOT_LANE,1,0,0,1,0,0,,0,1,True,23807,4102,43,8.6,295,76,19614,0,11,6,14,19,6,0,0,,0,0,0,0,0,1,"HEXTECH_DRAGON,WATER_DRAGON",2,0,28
