,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds
0,KR_6423959795,False,12794,3149,27,6.75,175,64,13135,1,6,7,11,15,4,0,0,,0,0,0,0,0,0,,0,0,True,18590,3945,38,6.333333333333333,191,51,14842,0,7,6,10,14,0,0,0,,0,0,0,0,0,0,,0,1
0,KR_6418345367,False,12337,1842,28,7.0,189,40,7408,1,5,3,4,14,3,0,0,,0,0,0,0,0,0,,0,0,True,16889,3749,38,6.333333333333333,214,68,13444,0,3,5,5,13,1,0,0,,0,0,0,0,0,1,['AIR_DRAGON'],1,0
0,KR_6425158126,True,13539,3234,27,6.75,210,58,8545,0,5,3,7,16,2,0,0,,0,0,0,0,0,1,['AIR_DRAGON'],1,0,False,16062,3112,37,6.166666666666667,251,40,11507,1,3,5,1,16,3,0,0,,0,0,0,0,0,0,,0,0
0,KR_6424649015,False,12664,1634,27,6.75,204,48,15293,0,4,8,5,22,3,0,0,,0,0,0,0,0,0,,0,0,True,18435,4035,38,6.333333333333333,215,32,15556,1,8,4,9,22,3,0,0,,0,0,0,0,0,0,,0,0
0,KR_6400790412,False,12553,1883,26,6.5,190,44,9740,0,4,11,5,12,3,0,0,,0,0,0,0,0,0,,0,0,True,20538,1418,38,6.333333333333333,216,40,17673,1,11,4,14,19,0,0,0,,0,0,0,0,0,0,,0,0
0,KR_6423215757,False,12167,1542,25,6.25,190,43,11207,0,5,7,10,18,2,0,0,,0,0,0,0,0,0,,0,0,True,19550,4675,36,6.0,230,64,17205,1,7,5,10,27,6,0,0,,0,0,0,0,0,0,,0,1
0,KR_6421858548,True,12632,1857,28,7.0,207,56,7465,1,3,3,3,12,1,0,0,,0,0,0,0,0,0,,0,0,False,16703,3388,38,6.333333333333333,236,48,10679,0,3,3,4,21,3,0,0,,0,0,0,0,0,1,['EARTH_DRAGON'],1,0
0,KR_6419932299,False,11478,2248,26,6.5,193,52,9808,0,3,6,3,15,3,0,0,,0,0,0,0,0,0,,0,1,True,17904,2459,38,6.333333333333333,222,48,15216,1,6,3,8,177,2,0,0,,0,0,0,0,0,1,['HEXTECH_DRAGON'],1,0
0,KR_6424303928,False,12358,1893,27,6.75,191,46,12470,0,5,7,6,14,3,0,0,,0,0,0,0,0,0,,0,0,True,18928,5313,40,6.666666666666667,249,42,15614,1,7,5,8,18,1,0,0,,0,0,0,0,0,0,,0,0
0,KR_6425021188,False,12252,2382,24,6.0,128,34,11999,1,9,7,16,14,5,0,0,,0,0,0,0,0,0,,0,0,True,19582,3597,37,6.166666666666667,265,34,21106,0,7,9,9,42,3,0,0,,0,0,0,0,0,1,['EARTH_DRAGON'],1,0
0,KR_6420668847,False,12256,4301,24,6.0,140,44,11168,0,8,9,6,11,1,0,0,,0,0,0,0,0,0,,0,0,True,19977,5271,39,6.5,228,47,18479,1,9,8,8,14,1,0,0,,0,0,0,0,0,1,['EARTH_DRAGON'],1,1
0,KR_6418292069,False,13456,1431,25,6.25,177,40,12616,1,8,6,11,10,4,0,0,,0,0,0,0,0,1,['CHEMTECH_DRAGON'],1,0,True,18163,5698,36,6.0,208,48,13209,0,6,8,12,16,1,0,0,,0,0,0,0,0,0,,0,1
0,KR_6408174939,True,12900,1600,27,6.75,192,49,10393,0,7,5,8,14,3,0,0,,0,0,0,0,0,1,['FIRE_DRAGON'],1,0,False,18066,3276,37,6.166666666666667,212,47,14161,1,5,7,6,23,3,0,0,,0,0,0,0,0,0,,0,1
0,KR_6409049141,False,12776,2976,27,6.75,198,44,10673,0,5,9,7,46,8,0,0,,0,0,0,0,0,1,['FIRE_DRAGON'],1,0,True,20406,5991,39,6.5,232,63,16821,1,9,5,16,22,28,0,0,,0,0,0,0,0,0,,0,0
0,KR_6420586491,True,12981,1936,26,6.5,169,47,16141,1,6,9,9,20,2,0,0,,0,0,0,0,0,1,['FIRE_DRAGON'],1,0,False,18673,4118,35,5.833333333333333,181,39,19921,0,9,6,8,68,1,0,0,,0,0,0,0,0,0,,0,0
0,KR_6421960838,False,12407,1787,26,6.5,150,33,12325,0,7,10,5,20,3,0,0,,0,0,0,0,0,0,,0,0,True,19563,3263,36,6.0,210,46,18010,1,10,7,7,14,3,0,0,,0,0,0,0,0,0,,0,1
0,KR_6424440319,False,11954,1109,27,6.75,199,36,9387,1,3,6,4,19,3,0,0,,0,0,0,0,0,0,,0,0,True,17389,3454,38,6.333333333333333,236,44,12166,0,6,3,5,15,4,0,0,,0,0,0,0,0,1,['FIRE_DRAGON'],1,0
0,KR_6421915752,True,14462,2697,26,6.5,187,54,15865,1,9,5,7,17,3,0,0,,0,0,0,0,0,1,['HEXTECH_DRAGON'],1,1,False,17395,2415,36,6.0,201,42,14624,0,5,9,3,31,1,0,0,,0,0,0,0,0,0,,0,0
0,KR_6422699569,True,12076,1221,26,6.5,163,44,8111,1,6,4,10,14,1,0,0,,0,0,0,0,0,0,,0,0,False,18960,4530,40,6.666666666666667,282,52,12549,0,4,6,5,13,2,0,0,,0,0,0,0,0,0,,0,1
0,KR_6424548062,False,10102,2187,25,6.25,168,29,8182,0,2,10,0,7,3,0,0,,0,0,0,0,0,0,,0,0,True,20076,3841,40,6.666666666666667,215,50,15715,1,10,2,10,17,0,0,0,,0,0,0,0,0,0,,0,0
