,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,matchMin
0,KR_6423633985,False,24885,2605,43,8.6,379,68,13596,0,6,9,8,33,12,1,0,BOT_LANE,1,0,0,1,0,1,CHEMTECH_DRAGON,1,1,True,25451,3501,45,9.0,389,71,19903,1,9,6,9,30,14,0,0,,0,0,0,0,0,0,EARTH_DRAGON,1,0,31
1,KR_6411523224,True,28981,1726,47,9.4,367,75,31571,1,17,7,21,30,13,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,False,25072,2824,42,8.4,330,70,27752,0,7,17,7,35,7,1,0,BOT_LANE,2,0,0,2,0,0,,0,1,24
2,KR_6418400578,True,26744,4524,44,8.8,329,64,30035,0,15,11,16,33,6,0,0,,0,0,0,0,0,1,"EARTH_DRAGON,FIRE_DRAGON",2,0,False,28834,2984,44,8.8,339,76,26833,1,11,15,13,22,7,1,0,BOT_LANE,2,1,0,1,0,0,,0,1,32
3,KR_6423206849,False,23390,2535,43,8.6,326,55,21237,0,10,13,10,35,9,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,True,27058,3608,44,8.8,320,83,27771,1,13,10,15,38,8,1,0,BOT_LANE,1,0,0,1,0,0,FIRE_DRAGON,1,1,24
4,KR_6419756778,True,28431,5816,46,9.2,361,80,25870,1,13,12,21,26,11,0,0,,0,0,0,0,0,1,"WATER_DRAGON,AIR_DRAGON",2,1,False,26004,3079,44,8.8,366,72,24614,0,12,13,19,41,9,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,41
5,KR_6424286822,False,28449,1310,44,8.8,283,79,27926,0,17,18,13,31,9,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,True,29881,5251,44,8.8,347,60,32175,1,18,17,19,47,9,1,0,MID_LANE,1,1,0,0,0,0,,0,1,27
6,KR_6415275424,True,28714,6069,45,9.0,334,82,37285,0,18,11,22,31,10,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,False,26833,3668,43,8.6,339,64,29893,1,11,18,19,28,5,1,0,MID_LANE,1,1,0,0,0,0,,0,1,26
7,KR_6419883143,False,25050,2660,44,8.8,344,75,23123,1,10,8,13,63,13,0,0,,0,0,0,0,0,1,"CHEMTECH_DRAGON,AIR_DRAGON",2,0,True,24654,5699,44,8.8,390,72,23763,0,8,10,8,35,9,0,0,,0,0,0,0,0,0,,0,1,31
8,KR_6423763038,True,23253,2203,43,8.6,365,83,25383,1,6,12,13,30,11,0,0,,0,0,0,0,0,0,,0,1,False,25109,3964,44,8.8,381,68,23135,0,12,6,15,32,10,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,33
9,KR_6418249795,True,21840,1540,43,8.6,312,63,20672,0,6,10,5,29,6,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,False,25280,3535,46,9.2,340,80,27815,1,10,6,13,23,9,0,0,,0,0,0,0,0,0,HEXTECH_DRAGON,1,1,31
10,KR_6425274100,False,22502,3177,42,8.4,283,52,26901,1,8,16,7,33,18,0,0,,0,0,0,0,0,0,,0,1,True,26322,1422,44,8.8,315,58,30570,0,16,8,24,57,10,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,20
11,KR_6416730851,False,22236,4126,42,8.4,314,72,20574,1,5,10,8,28,8,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,1,True,25761,4021,46,9.2,381,75,25777,0,10,5,9,33,10,0,0,,0,0,0,0,0,0,HEXTECH_DRAGON,1,0,21
12,KR_6413261667,True,27879,3149,45,9.0,380,77,24847,0,11,10,16,47,4,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,False,24620,2965,43,8.6,351,77,26437,1,10,11,6,25,5,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,23
13,KR_6407010598,False,26090,2315,43,8.6,325,79,19379,1,12,8,11,27,6,0,0,,1,0,1,0,0,0,,0,1,True,25742,5042,44,8.8,340,68,26478,0,8,12,15,33,8,1,0,BOT_LANE,1,0,0,1,0,1,HEXTECH_DRAGON,1,0,23
14,KR_6414428670,False,26012,2332,43,8.6,328,66,28485,0,12,11,15,33,13,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,True,25756,2521,42,8.4,332,72,23303,1,11,12,10,31,11,1,0,BOT_LANE,1,0,0,1,0,0,,0,1,36
15,KR_6413718780,True,25825,2625,42,8.4,364,63,24093,0,7,12,9,31,10,0,0,,1,0,0,1,0,0,,0,0,False,27917,4367,44,8.8,349,71,21944,1,12,7,14,66,9,1,0,MID_LANE,3,2,1,0,0,1,FIRE_DRAGON,1,1,25
16,KR_6415415600,False,32183,3293,44,8.8,333,70,39465,1,21,14,27,26,7,1,0,BOT_LANE,2,0,1,1,0,1,FIRE_DRAGON,1,1,True,26009,2739,43,8.6,332,52,33873,0,14,21,18,27,5,0,0,,0,0,0,0,0,0,WATER_DRAGON,1,0,20
17,KR_6413758024,False,23951,4101,45,9.0,388,79,22063,0,6,8,7,28,10,0,0,,0,0,0,0,0,0,,0,1,True,25976,5237,46,9.2,413,72,24553,1,8,6,7,35,8,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,34
18,KR_6415774756,True,25560,2595,45,9.0,403,72,21543,1,9,6,10,27,8,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,1,False,23005,3505,44,8.8,379,80,21121,0,6,9,8,26,8,0,0,,0,0,0,0,0,0,CHEMTECH_DRAGON,1,0,31
19,KR_6419931919,False,22143,3103,43,8.6,349,62,24368,1,4,8,6,44,8,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,1,True,25360,3720,43,8.6,373,64,27739,0,8,4,9,31,9,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,22
20,KR_6425080686,True,26473,2153,43,8.6,332,92,28872,0,11,9,8,25,8,1,0,TOP_LANE,2,0,2,0,0,1,"FIRE_DRAGON,AIR_DRAGON",2,1,False,23711,2521,41,8.2,314,68,22903,1,9,11,15,26,4,0,0,,0,0,0,0,0,0,,0,0,22
21,KR_6416723637,True,25632,1867,43,8.6,361,55,25952,0,10,7,15,61,5,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,False,23158,3708,43,8.6,343,87,27807,1,7,10,7,30,12,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,1,34
22,KR_6415198805,False,24141,2356,42,8.4,318,72,30454,0,10,23,10,33,8,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,True,34891,4040,46,9.2,361,71,36147,1,23,10,25,37,9,1,0,MID_LANE,3,1,1,1,0,0,HEXTECH_DRAGON,1,1,20
23,KR_6419568836,True,30813,3943,47,9.4,355,72,35731,1,21,8,23,92,14,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,1,False,22785,3250,42,8.4,294,72,28501,0,8,21,8,31,21,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,24
24,KR_6417108517,True,29733,1218,42,8.4,320,68,32957,1,13,11,19,37,5,1,0,TOP_LANE,3,1,1,1,0,1,EARTH_DRAGON,1,1,False,23993,4663,42,8.4,283,70,26030,0,11,13,18,27,5,0,0,,0,0,0,0,0,0,,0,0,29
25,KR_6422949089,False,21008,3133,40,8.0,302,80,24497,0,3,16,4,28,8,0,0,,0,0,0,0,0,0,,0,0,True,27861,5806,46,9.2,357,67,28569,1,16,3,18,31,11,1,0,BOT_LANE,1,0,0,1,0,1,"CHEMTECH_DRAGON,EARTH_DRAGON",2,1,17
26,KR_6424036381,False,22172,3512,41,8.2,304,72,27759,0,7,14,7,41,7,0,0,,0,0,0,0,0,0,,0,0,True,27589,2398,42,8.4,341,54,26340,1,14,7,21,24,10,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,19
27,KR_6422970549,False,24864,3049,43,8.6,308,62,25130,0,12,9,12,46,5,0,0,,0,0,0,0,0,0,,0,1,True,27054,4264,44,8.8,400,87,27590,1,9,12,15,35,11,1,0,TOP_LANE,1,0,1,0,0,1,FIRE_DRAGON,1,0,24
28,KR_6425143527,True,24396,2326,45,9.0,399,64,18476,0,7,6,5,39,16,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,1,False,24130,2655,45,9.0,416,74,16414,1,6,7,5,33,11,0,0,,0,0,0,0,0,0,,0,0,28
29,KR_6425249093,False,20397,2287,38,7.6,268,60,22027,0,5,26,3,27,8,0,0,,0,0,0,0,0,0,,0,0,True,33335,2890,45,9.0,339,71,38688,1,26,5,29,33,11,1,0,TOP_LANE,3,1,1,1,0,1,EARTH_DRAGON,1,1,18
30,KR_6415921240,True,25000,2735,45,9.0,350,72,23027,1,9,4,10,27,5,0,0,,0,0,0,0,0,0,,0,1,False,21069,2364,43,8.6,348,64,17122,0,4,9,2,25,7,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,21
31,KR_6413857482,False,26134,2209,44,8.8,327,83,27235,1,11,8,20,56,7,1,0,BOT_LANE,1,0,0,1,0,1,EARTH_DRAGON,1,1,True,27124,2724,46,9.2,398,88,23613,0,8,11,9,26,4,0,0,,2,0,1,1,0,0,,0,0,28
32,KR_6412287044,False,29141,2126,44,8.8,350,63,31077,0,15,14,21,26,8,1,0,MID_LANE,1,1,0,0,0,0,,0,1,True,27715,2454,45,9.0,362,56,27216,1,14,15,14,23,8,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,30
33,KR_6416320196,False,22953,3313,43,8.6,345,73,24694,0,6,15,6,30,7,0,0,,0,0,0,0,0,0,,0,0,True,28630,2695,47,9.4,374,98,32147,1,15,6,11,29,7,1,0,MID_LANE,1,1,0,0,0,1,"EARTH_DRAGON,WATER_DRAGON",2,1,18
34,KR_6418977489,True,26269,3068,44,8.8,372,92,26041,0,10,7,12,36,10,0,0,,0,0,0,0,0,0,,0,1,False,25070,315,44,8.8,352,75,20594,1,7,10,8,23,8,1,0,BOT_LANE,1,0,0,1,0,1,EARTH_DRAGON,1,0,24
35,KR_6424323049,False,22319,3354,43,8.6,332,88,20277,0,4,6,5,32,11,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1,True,24374,1384,45,9.0,411,70,18316,1,6,4,4,32,19,0,0,,0,0,0,0,0,0,,0,0,32
36,KR_6419293438,False,22510,1140,45,9.0,356,100,17316,0,5,8,6,32,10,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,True,25300,2005,44,8.8,377,81,22238,1,8,5,15,32,13,0,0,,0,0,0,0,0,0,HEXTECH_DRAGON,1,1,28
37,KR_6410188042,False,25839,2353,43,8.6,343,48,25274,0,11,16,13,33,14,0,0,,1,0,0,1,0,1,WATER_DRAGON,1,0,True,29626,7396,45,9.0,361,79,27125,1,16,11,13,30,12,1,0,TOP_LANE,2,0,2,0,0,0,,0,1,23
38,KR_6424346976,True,27046,3526,43,8.6,350,33,30143,1,10,13,10,39,7,0,0,,1,0,1,0,0,0,,0,0,False,25465,3840,43,8.6,280,67,29738,0,13,10,21,29,6,1,0,BOT_LANE,1,0,0,1,0,1,CHEMTECH_DRAGON,1,1,28
39,KR_6416030419,False,25300,1145,43,8.6,361,53,20791,1,11,11,12,27,8,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,True,27220,4430,44,8.8,327,70,29952,0,11,11,15,32,5,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,27
40,KR_6409189908,True,26865,5250,44,8.8,324,68,27806,1,14,4,15,24,10,1,0,BOT_LANE,1,0,0,1,0,1,WATER_DRAGON,1,1,False,22397,2532,41,8.2,338,72,22938,0,4,14,6,29,5,0,0,,0,0,0,0,0,0,,0,0,23
41,KR_6423875676,True,24608,2578,45,9.0,367,83,23368,1,8,8,11,37,17,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,False,27302,3392,44,8.8,403,68,25397,0,8,8,12,45,11,0,0,,0,0,0,0,0,0,,0,1,38
42,KR_6418662828,False,25822,1407,42,8.4,329,79,22654,0,12,14,14,45,8,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,True,28243,3233,42,8.4,349,67,27331,1,14,12,20,31,9,1,0,BOT_LANE,1,0,0,1,0,0,,0,1,30
43,KR_6406199765,True,27811,4501,43,8.6,360,42,30440,1,19,11,18,36,11,0,0,,0,0,0,0,0,0,,0,0,False,27308,2638,42,8.4,330,68,28485,0,11,19,14,31,16,1,0,TOP_LANE,1,0,1,0,0,1,EARTH_DRAGON,1,1,25
44,KR_6405653153,False,26729,1244,43,8.6,367,84,25571,1,12,19,13,28,11,0,0,,0,0,0,0,0,0,HEXTECH_DRAGON,1,0,True,31416,1986,45,9.0,354,92,35607,0,19,12,29,54,11,1,0,BOT_LANE,1,0,0,1,0,1,CHEMTECH_DRAGON,1,1,24
45,KR_6422139334,False,23249,2384,43,8.6,324,70,19491,1,7,10,5,34,11,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,1,True,27396,3181,44,8.8,349,74,25933,0,10,7,16,47,5,1,0,MID_LANE,2,1,0,1,0,0,,0,0,31
46,KR_6421666631,False,21958,2094,40,8.0,296,56,22847,0,7,19,9,22,13,0,0,,0,0,0,0,0,0,,0,0,True,32580,9000,46,9.2,352,68,30917,1,19,7,24,32,7,1,0,MID_LANE,2,1,0,1,0,0,,0,0,25
47,KR_6418684107,True,25486,5006,46,9.2,377,90,21345,0,9,5,8,74,12,0,0,,0,0,0,0,0,0,AIR_DRAGON,1,0,False,23973,3049,43,8.6,366,80,25613,1,5,9,7,30,15,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,1,26
48,KR_6415183655,False,27509,3599,44,8.8,322,76,31565,0,13,16,18,31,8,0,0,,0,0,0,0,0,0,,0,0,True,27920,4145,42,8.4,331,60,27127,1,16,13,25,32,12,1,0,BOT_LANE,1,0,0,1,0,1,WATER_DRAGON,1,1,31
49,KR_6409515463,True,30912,1492,46,9.2,364,52,36711,0,20,12,20,81,15,1,0,MID_LANE,2,1,0,1,0,0,,0,1,False,24746,801,40,8.0,300,52,36026,1,12,20,16,32,27,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,17
50,KR_6422647439,False,28041,1696,45,9.0,335,72,32400,1,15,11,21,24,6,1,0,TOP_LANE,1,0,1,0,0,1,FIRE_DRAGON,1,1,True,27559,4824,45,9.0,346,76,32060,0,11,15,20,28,8,0,0,,1,0,0,1,0,0,,0,0,27
51,KR_6421119543,False,22466,2595,42,8.4,321,68,26494,0,6,12,9,28,6,0,0,,0,0,0,0,0,0,,0,1,True,24387,3112,41,8.2,320,75,29146,1,12,6,14,38,12,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,29
52,KR_6404529542,False,25458,1564,43,8.6,336,68,22738,0,9,12,13,31,6,1,0,TOP_LANE,1,0,1,0,0,1,FIRE_DRAGON,1,0,True,25493,1353,43,8.6,349,59,26825,1,12,9,18,33,8,0,0,,0,0,0,0,0,0,CHEMTECH_DRAGON,1,0,27
53,KR_6415571480,True,28144,8479,45,9.0,368,88,25098,0,12,7,12,24,4,0,0,,1,0,1,0,0,1,WATER_DRAGON,1,1,False,25033,3088,42,8.4,378,60,24901,1,7,12,10,29,5,1,0,TOP_LANE,1,0,1,0,0,0,EARTH_DRAGON,1,0,23
54,KR_6414906988,True,27686,2997,46,9.2,310,64,33504,1,16,11,12,25,7,1,0,BOT_LANE,1,0,0,1,0,1,HEXTECH_DRAGON,1,1,False,25730,1735,43,8.6,325,80,32398,0,11,16,10,26,6,0,0,,1,0,1,0,0,0,,0,0,23
55,KR_6413103198,True,25455,4070,44,8.8,354,74,25178,1,8,6,10,38,4,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,1,False,24685,2949,44,8.8,376,92,26945,0,6,8,9,32,12,1,0,TOP_LANE,1,0,1,0,0,0,,0,0,21
56,KR_6421141685,False,26621,3550,41,8.2,297,59,29726,1,14,19,16,31,8,0,0,,0,0,0,0,0,0,AIR_DRAGON,1,0,True,31514,4011,45,9.0,363,68,34347,0,19,14,27,31,6,1,0,MID_LANE,3,2,1,0,0,1,FIRE_DRAGON,1,1,21
57,KR_6421561838,True,29359,2209,45,9.0,342,60,27524,0,17,14,21,47,8,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,False,26713,2418,42,8.4,349,48,26432,1,14,17,15,28,7,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,33
58,KR_6424434368,True,30097,5327,44,8.8,368,64,28933,1,18,8,24,21,16,1,0,BOT_LANE,1,0,0,1,0,1,"WATER_DRAGON,HEXTECH_DRAGON",2,1,False,25281,4156,42,8.4,365,82,26052,0,8,18,8,35,6,0,0,,0,0,0,0,0,0,,0,0,27
59,KR_6420704204,True,27104,2524,41,8.2,332,44,30838,1,11,15,13,28,9,0,0,,0,0,0,0,0,0,,0,1,False,25711,1986,42,8.4,312,48,30564,0,15,11,19,44,8,1,0,TOP_LANE,1,0,1,0,0,0,,0,0,33
60,KR_6422802821,False,25299,3254,46,9.2,337,87,24009,0,9,13,8,25,6,0,0,,0,0,0,0,0,0,,0,1,True,26292,4192,45,9.0,356,87,27223,1,13,9,16,23,8,0,0,,0,0,0,0,0,1,"EARTH_DRAGON,AIR_DRAGON",2,0,30
