blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,matchMin,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
0,14483,32,225,52,6599,0,2,7,3,13,3,0,0,0,0,0,0,0,1,1,1,15612,33,227,40,10702,1,7,2,6,13,3,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,0
1,15757,33,215,40,14231,1,7,4,6,17,3,0,0,0,0,0,0,0,0,0,0,15258,32,203,50,14015,0,4,7,5,18,4,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0
1,17416,32,187,44,18027,0,12,8,12,18,1,0,0,0,0,0,0,0,1,1,0,16486,33,180,52,15172,1,8,12,11,12,2,0,0,0,0,0,0,0,0,0,1,32,0,0,0,1,0,0,0,0,0,0,0,0
0,13497,31,185,35,9303,0,4,7,4,16,2,0,0,0,0,0,0,0,1,1,0,16207,32,186,48,13298,1,7,4,8,19,1,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,0,0
1,16971,32,195,52,17175,1,8,8,16,15,5,0,0,0,0,0,0,0,1,1,0,16413,30,194,40,15418,0,8,8,14,22,4,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0
0,16373,31,168,52,11175,0,7,7,6,19,5,0,0,0,0,0,0,0,0,0,0,16107,34,218,52,13316,1,7,7,2,26,3,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0
1,15858,33,206,50,15971,0,7,5,6,15,3,0,0,0,0,0,0,0,1,1,0,15734,33,213,44,14467,1,5,7,7,16,1,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,1,0,0,0,0,0,0,0
0,15078,33,215,55,11237,1,5,5,3,35,6,0,0,0,0,0,0,0,1,1,0,14603,33,233,44,13063,0,5,5,5,19,5,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,0
1,14794,31,199,51,14166,1,5,7,12,15,1,0,0,0,0,0,0,0,0,0,1,15673,32,217,40,10571,0,7,5,8,12,4,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
1,13829,32,200,36,9933,0,3,3,2,18,4,0,0,0,0,0,0,0,1,1,0,13820,32,190,48,11419,1,3,3,3,12,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0
