,blueWins,blueFirstBlood,blueFirstTower,blueFirstInhibitor,blueFirstDragon,matchMin,TotalGold_Gap,AvgLever_Gap,TotalMinionKills_Gap,TotalJungleMinionKills_Gap,TotalDamageToChampion_Gap,Kill_Gap,Assist_Gap,WardPlaced_Gap,WardKills_Gap,TowerKills_Gap,MidTowerKills_Gap,TopTowerKills_Gap,BotTowerKills_Gap,Inhibitor_Gap,Dragon_Gap,RiftHeralds_Gap,humanPrediction
0,False,0,1,0,1,31,-566,-0.40000000000000036,-10,-3,-6307,-3,-1,3,-2,1,0,0,1,0,0,1,0
1,True,1,0,0,1,24,3909,1.0,37,5,3819,10,14,-5,6,0,0,0,-2,0,1,-1,1
2,True,0,0,0,1,32,-2090,0.0,-10,-12,3202,4,3,11,-1,0,-1,0,-1,0,2,-1,1
3,False,0,0,0,1,24,-3668,-0.20000000000000107,6,-28,-6534,-3,-5,-3,1,0,0,0,-1,0,0,-1,0
4,True,1,0,0,1,41,2427,0.3999999999999986,-5,8,1256,1,2,-15,2,0,0,0,-1,0,2,1,1
5,False,0,0,0,1,27,-1432,0.0,-64,19,-4249,-1,-6,-16,0,0,-1,0,0,0,1,-1,0
6,True,0,0,0,1,26,1881,0.40000000000000036,-5,18,7392,7,3,3,5,0,-1,0,0,0,1,-1,1
7,False,1,0,0,1,31,396,0.0,-46,3,-640,2,5,28,4,0,0,0,0,0,2,-1,1
8,True,1,0,0,0,33,-1856,-0.20000000000000107,-16,15,2248,-6,-2,-2,1,0,0,0,0,0,-1,1,0
9,True,0,0,0,1,31,-3440,-0.5999999999999996,-28,-17,-7143,-4,-8,6,-3,0,0,0,0,0,0,-1,0
10,False,1,0,0,0,20,-3820,-0.40000000000000036,-32,-6,-3669,-8,-17,-24,8,0,0,0,0,0,-1,1,0
11,False,1,0,0,1,21,-3525,-0.7999999999999989,-67,-3,-5203,-5,-1,-5,-2,0,0,0,0,0,0,1,0
12,True,0,1,0,0,23,3259,0.40000000000000036,29,0,-1590,1,10,22,-1,1,0,1,0,0,-1,1,1
13,False,1,0,0,0,23,348,-0.20000000000000107,-15,11,-7099,4,-4,-6,-2,1,0,1,-1,0,-1,1,1
14,False,0,0,0,1,36,256,0.1999999999999993,-4,-6,5182,1,5,2,2,0,0,0,-1,0,1,-1,1
15,True,0,0,0,0,25,-2092,-0.40000000000000036,15,-8,2149,-5,-5,-35,1,0,-2,-1,1,0,-1,-1,0
16,False,1,1,0,1,20,6174,0.20000000000000107,1,18,5592,7,9,-1,2,2,0,1,1,0,0,1,1
17,False,0,0,0,0,34,-2025,-0.1999999999999993,-25,7,-2490,-2,0,-7,2,0,0,0,0,0,-1,1,0
18,True,1,0,0,1,31,2555,0.1999999999999993,24,-8,422,3,2,1,0,0,0,0,0,0,0,1,1
