,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,matchMin
0,KR_6411181876,True,15586,4386,34,6.8,177,36,12477,1,9,1,8,14,0,0,0,,0,0,0,0,0,0,,0,0,False,11880,1325,31,6.2,137,56,8931,0,1,9,0,14,1,0,0,,0,0,0,0,0,0,,0,0,46
1,KR_6413074483,True,13403,3458,33,6.6,148,52,9972,0,5,3,4,35,2,0,0,,0,0,0,0,0,0,,0,0,False,13217,2287,32,6.4,172,46,10251,1,3,5,2,11,10,0,0,,0,0,0,0,0,0,,0,0,24
2,KR_6380324085,False,12176,1596,30,6.0,112,40,9411,0,4,9,3,187,9,0,0,,0,0,0,0,0,0,,0,0,True,16756,3361,33,6.6,162,48,15428,1,9,4,8,31,0,0,0,,0,0,0,0,0,0,,0,0,18
3,KR_6368209071,True,13056,2641,33,6.6,163,52,8218,1,2,0,2,0,1,0,0,,0,0,0,0,0,0,,0,0,False,11550,3050,32,6.4,173,44,9297,0,0,2,0,0,1,0,0,,0,0,0,0,0,0,,0,0,33
4,KR_6412737696,False,12857,4227,34,6.8,160,48,9907,1,4,7,1,14,1,0,0,,0,0,0,0,0,0,,0,0,True,15440,4735,32,6.4,141,56,16130,0,7,4,8,21,1,0,0,,0,0,0,0,0,0,,0,0,20
5,KR_6441891737,False,13271,1481,29,5.8,123,36,11682,1,4,6,4,9,1,0,0,,0,0,0,0,0,0,,0,0,True,14052,4247,34,6.8,157,60,14528,0,6,4,2,13,2,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,22
6,KR_6443608082,False,13591,6216,33,6.6,155,40,12770,0,6,6,3,16,0,0,0,,0,0,0,0,0,0,,0,0,True,14576,6101,33,6.6,175,48,11889,1,6,6,4,13,3,0,0,,0,0,0,0,0,0,,0,0,37
7,KR_6382125120,True,16259,6484,33,6.6,196,31,17750,1,11,2,9,17,4,0,0,,0,0,0,0,0,0,,0,0,False,12232,2992,30,6.0,160,45,10295,0,2,11,1,144,1,0,0,,0,0,0,0,0,0,,0,0,33
8,KR_6435412540,True,15382,5012,33,6.6,159,44,15418,0,9,3,2,8,2,0,0,,0,0,0,0,0,0,,0,0,False,12580,2555,32,6.4,159,44,11993,1,3,9,3,12,0,0,0,,0,0,0,0,0,0,,0,0,31
9,KR_6445435086,False,13239,3309,33,6.6,159,59,11461,0,3,4,1,16,2,0,0,,0,0,0,0,0,0,,0,0,True,14148,3763,32,6.4,185,48,10571,1,4,3,5,14,3,0,0,,0,0,0,0,0,0,,0,0,38
10,KR_6379568202,True,14954,3774,31,6.2,151,44,15619,1,8,6,6,13,1,0,0,,0,0,0,0,0,0,,0,0,False,14140,5535,32,6.4,152,48,13065,0,6,8,5,16,0,0,0,,0,0,0,0,0,0,,0,0,29
11,KR_6380179896,True,12907,3102,31,6.2,141,44,10979,1,3,2,2,9,1,0,0,,0,0,0,0,0,0,,0,1,False,13166,2906,32,6.4,163,48,11235,0,2,3,1,73,0,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,37
12,KR_6404107188,True,13527,4287,32,6.4,134,48,10980,1,5,4,1,11,1,0,0,,0,0,0,0,0,0,,0,0,False,13562,2957,32,6.4,156,47,13310,0,4,5,3,12,0,0,0,,0,0,0,0,0,0,,0,0,34
13,KR_6421786507,True,12690,3435,31,6.2,177,44,13324,0,3,7,1,14,3,0,0,,0,0,0,0,0,0,,0,0,False,14676,3586,32,6.4,167,48,14441,1,7,3,6,10,2,0,0,,0,0,0,0,0,0,,0,0,32
14,KR_6440973534,False,11837,2187,32,6.4,137,44,7898,0,3,1,0,13,0,0,0,,0,0,0,0,0,0,,0,0,True,12570,2345,32,6.4,180,48,11142,1,1,3,0,83,1,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,31
15,KR_6436487097,True,15914,1324,33,6.6,170,52,11799,0,9,4,9,17,2,0,0,,0,0,0,0,0,0,,0,0,False,13677,3097,31,6.2,143,52,10164,1,4,9,5,15,1,0,0,,0,0,0,0,0,0,,0,0,37
16,KR_6440668981,True,15272,2797,32,6.4,167,44,13431,1,7,3,5,11,4,0,0,,0,0,0,0,0,0,,0,0,False,13133,4173,32,6.4,165,40,9453,0,3,7,2,14,3,0,0,,0,0,0,0,0,0,,0,0,23
17,KR_6433996241,False,14171,4121,33,6.6,156,48,11734,0,6,7,5,8,0,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,True,14183,1503,32,6.4,171,44,11916,1,7,6,3,10,1,0,0,,0,0,0,0,0,0,,0,0,37
18,KR_6443506961,False,11463,1248,28,5.6,122,42,6723,1,2,6,0,152,2,0,0,,0,0,0,0,0,0,,0,0,True,14286,4756,32,6.4,177,45,10716,0,6,2,6,20,1,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,30
19,KR_6443368945,True,15497,5992,33,6.6,167,48,11963,0,7,2,8,8,2,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,False,12768,3083,30,6.0,149,52,9751,1,2,7,5,10,0,0,0,,0,0,0,0,0,0,,0,0,27
20,KR_6442392208,False,13373,3338,32,6.4,151,42,10621,1,4,9,0,15,0,0,0,,0,0,0,0,0,0,,0,0,True,16284,3804,32,6.4,198,36,13384,0,9,4,3,16,1,0,0,,0,0,0,0,0,0,,0,0,35
21,KR_6437224505,True,15295,6015,31,6.2,154,48,13660,1,8,5,6,32,2,0,0,,0,0,0,0,0,0,,0,0,False,13264,2544,29,5.8,122,32,13937,0,5,8,4,28,3,0,0,,0,0,0,0,0,0,,0,0,34
22,KR_6393267572,True,17317,4852,34,6.8,170,60,18844,1,13,5,4,10,0,0,0,,0,0,0,0,0,0,,0,0,False,12685,1105,28,5.6,128,32,13590,0,5,13,4,9,2,0,0,,0,0,0,0,0,0,,0,0,28
23,KR_6433859812,True,14600,1810,32,6.4,208,40,9232,1,5,2,3,120,0,0,0,,0,0,0,0,0,0,,0,0,False,12314,3229,32,6.4,139,60,7569,0,2,5,2,67,1,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,30
24,KR_6446562206,False,13116,1581,29,5.8,117,40,11008,1,5,12,4,23,1,0,0,,0,0,0,0,0,0,,0,0,True,17191,5701,33,6.6,172,48,14108,0,12,5,10,16,6,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,22
25,KR_6385245778,True,14478,3928,32,6.4,145,44,10803,1,6,4,6,12,1,0,0,,0,0,0,0,0,0,,0,0,False,13633,2973,32,6.4,173,48,10054,0,4,6,3,15,2,0,0,,0,0,0,0,0,0,,0,0,28
26,KR_6426622941,True,13599,3239,32,6.4,200,32,11569,0,5,3,3,15,0,0,0,,0,0,0,0,0,0,,0,0,False,12562,1152,30,6.0,126,40,10554,1,3,5,6,13,1,0,0,,0,0,0,0,0,0,,0,0,37
27,KR_6415252412,False,13332,3652,29,5.8,100,36,15977,1,6,10,5,15,5,0,0,,0,0,0,0,0,0,,0,0,True,15952,2867,30,6.0,169,20,15025,0,10,6,9,32,2,0,0,,0,0,0,0,0,0,,0,0,21
28,KR_6392738789,True,15204,2344,31,6.2,174,40,13469,1,8,7,12,108,2,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,False,14129,3284,28,5.6,142,24,13797,0,7,8,11,16,4,0,0,,0,0,0,0,0,0,,0,0,36
29,KR_6388379604,False,12894,2449,32,6.4,147,60,7968,0,3,5,1,4,1,0,0,,0,0,0,0,0,0,,0,0,True,13299,2749,30,6.0,137,48,11811,1,5,3,4,9,0,0,0,,0,0,0,0,0,0,,0,0,34
30,KR_6424314678,True,12116,2391,30,6.0,145,40,12462,0,3,6,1,20,0,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,False,14581,4511,29,5.8,150,40,11814,1,6,3,5,72,14,0,0,,0,0,0,0,0,0,,0,0,38
31,KR_6350528969,True,11847,1832,31,6.2,105,52,12300,0,3,6,1,10,15,0,0,,0,0,0,0,0,0,,0,0,False,13785,2715,32,6.4,154,32,10231,1,6,3,5,34,2,0,0,,0,0,0,0,0,0,,0,0,33
32,KR_6442418983,True,11842,2127,29,5.8,148,27,12846,0,3,7,1,11,3,0,0,,0,0,0,0,0,0,,0,0,False,14023,3243,31,6.2,170,36,10416,1,7,3,2,14,1,0,0,,0,0,0,0,0,0,,0,0,32
33,KR_6400650829,False,15621,2261,31,6.2,136,32,15515,0,9,9,11,30,2,0,0,,0,0,0,0,0,0,,0,0,True,16027,2122,30,6.0,141,28,15819,1,9,9,12,6,17,0,0,,0,0,0,0,0,0,,0,0,27
34,KR_6366538611,True,12874,3319,33,6.6,162,36,11493,0,3,6,2,0,1,0,0,,0,0,0,0,0,0,,0,0,False,13733,3073,35,7.0,166,52,7813,1,6,3,2,0,3,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0,39
35,KR_6381473949,False,13541,2556,33,6.6,149,32,12710,1,5,3,4,14,2,0,0,,0,0,0,0,0,0,,0,0,True,13014,4334,33,6.6,182,52,7543,0,3,5,1,12,1,0,0,,0,0,0,0,0,0,,0,0,22
36,KR_6395689766,True,13284,3689,32,6.4,151,40,8766,1,5,3,4,11,3,0,0,,0,0,0,0,0,0,,0,0,False,12777,2462,29,5.8,155,0,10993,0,3,5,1,15,1,0,0,,0,0,0,0,0,0,,0,0,31
37,KR_6401537903,False,11302,2382,29,5.8,128,28,9239,0,2,10,0,14,1,0,0,,0,0,0,0,0,1,FIRE_DRAGON,1,0,True,15499,3359,30,6.0,160,30,14364,1,10,2,9,16,0,0,0,,0,0,0,0,0,0,,0,0,20
38,KR_6429562337,True,13466,2101,32,6.4,161,47,8999,1,3,6,3,10,1,0,0,,0,0,0,0,0,0,,0,0,False,15270,3970,32,6.4,182,56,13163,0,6,3,6,12,1,0,0,,0,0,0,0,0,0,,0,0,27
39,KR_6333356669,True,13076,2001,30,6.0,180,48,10114,1,4,8,2,8,0,0,0,,0,0,0,0,0,0,,0,0,False,14371,4681,34,6.8,170,40,13015,0,8,4,5,10,1,0,0,,0,0,0,0,0,0,,0,0,30
40,KR_6443225460,True,14724,3754,30,6.0,119,36,13188,0,9,5,7,11,0,0,0,,0,0,0,0,0,0,,0,0,False,13472,3047,31,6.2,154,52,14156,1,5,9,3,10,0,0,0,,0,0,0,0,0,0,,0,0,32
41,KR_6420525658,True,12800,2245,31,6.2,142,44,10584,1,3,6,2,11,1,0,0,,0,0,0,0,0,0,,0,0,False,12727,3587,30,6.0,120,34,9973,0,6,3,3,15,0,0,0,,0,0,0,0,0,0,,0,0,54
42,KR_6354901944,True,18883,3643,33,6.6,155,39,17366,1,15,5,21,0,1,0,0,,0,0,0,0,0,0,,0,0,False,13601,2276,30,6.0,131,40,12583,0,5,15,4,0,0,0,0,,0,0,0,0,0,0,,0,0,26
43,KR_6363425253,False,13909,1964,32,6.4,152,44,10152,1,5,6,3,0,2,0,0,,0,0,0,0,0,0,,0,0,True,14059,2524,31,6.2,147,44,11374,0,6,5,5,0,0,0,0,,0,0,0,0,0,0,,0,0,40
44,KR_6400344668,True,15144,6844,32,6.4,162,36,12793,1,8,5,8,9,2,0,0,,0,0,0,0,0,0,,0,0,False,13001,991,30,6.0,139,36,12289,0,5,8,1,189,1,0,0,,0,0,0,0,0,0,,0,0,41
45,KR_6445113118,True,15217,5152,32,6.4,171,32,15219,1,10,3,11,13,3,0,0,,0,0,0,0,0,0,,0,0,False,12306,2006,30,6.0,129,42,12187,0,3,10,1,16,0,0,0,,0,0,0,0,0,0,,0,0,21
46,KR_6368487441,True,15539,4104,34,6.8,176,40,12749,0,9,6,5,0,2,0,0,,0,0,0,0,0,0,,0,0,False,14068,1453,30,6.0,155,40,14252,1,6,9,4,0,1,0,0,,0,0,0,0,0,0,,0,0,31
47,KR_6319173945,True,15286,4931,34,6.8,168,44,14600,0,6,10,3,11,2,0,0,,0,0,0,0,0,0,,0,0,False,15176,2156,33,6.6,164,60,14908,1,10,6,8,19,0,0,0,,0,0,0,0,0,0,,0,0,29
48,KR_6446814079,False,13298,1443,32,6.4,155,44,11637,0,4,8,3,13,6,0,0,,0,0,0,0,0,0,,0,0,True,15261,5521,33,6.6,174,47,15639,1,8,4,8,27,4,0,0,,0,0,0,0,0,0,,0,0,27
