blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,matchMin,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
1,15586,34,177,36,12477,1,9,1,8,14,0,0,0,0,0,0,0,0,0,0,0,11880,31,137,56,8931,0,1,9,0,14,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1,13403,33,148,52,9972,0,5,3,4,35,2,0,0,0,0,0,0,0,0,0,0,13217,32,172,46,10251,1,3,5,2,11,10,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
0,12176,30,112,40,9411,0,4,9,3,187,9,0,0,0,0,0,0,0,0,0,0,16756,33,162,48,15428,1,9,4,8,31,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
1,13056,33,163,52,8218,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11550,32,173,44,9297,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
0,12857,34,160,48,9907,1,4,7,1,14,1,0,0,0,0,0,0,0,0,0,0,15440,32,141,56,16130,0,7,4,8,21,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
0,13271,29,123,36,11682,1,4,6,4,9,1,0,0,0,0,0,0,0,0,0,0,14052,34,157,60,14528,0,6,4,2,13,2,0,0,0,0,0,0,0,1,1,0,22,0,0,0,0,0,0,0,0,0,1,0,0
0,13591,33,155,40,12770,0,6,6,3,16,0,0,0,0,0,0,0,0,0,0,0,14576,33,175,48,11889,1,6,6,4,13,3,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
1,16259,33,196,31,17750,1,11,2,9,17,4,0,0,0,0,0,0,0,0,0,0,12232,30,160,45,10295,0,2,11,1,144,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
1,15382,33,159,44,15418,0,9,3,2,8,2,0,0,0,0,0,0,0,0,0,0,12580,32,159,44,11993,1,3,9,3,12,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
0,13239,33,159,59,11461,0,3,4,1,16,2,0,0,0,0,0,0,0,0,0,0,14148,32,185,48,10571,1,4,3,5,14,3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
1,14954,31,151,44,15619,1,8,6,6,13,1,0,0,0,0,0,0,0,0,0,0,14140,32,152,48,13065,0,6,8,5,16,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
1,12907,31,141,44,10979,1,3,2,2,9,1,0,0,0,0,0,0,0,0,0,1,13166,32,163,48,11235,0,2,3,1,73,0,0,0,0,0,0,0,0,1,1,0,37,0,0,0,0,0,0,1,0,0,0,0,0
1,13527,32,134,48,10980,1,5,4,1,11,1,0,0,0,0,0,0,0,0,0,0,13562,32,156,47,13310,0,4,5,3,12,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
1,12690,31,177,44,13324,0,3,7,1,14,3,0,0,0,0,0,0,0,0,0,0,14676,32,167,48,14441,1,7,3,6,10,2,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
0,11837,32,137,44,7898,0,3,1,0,13,0,0,0,0,0,0,0,0,0,0,0,12570,32,180,48,11142,1,1,3,0,83,1,0,0,0,0,0,0,0,1,1,0,31,0,0,0,0,0,0,0,0,0,0,0,1
1,15914,33,170,52,11799,0,9,4,9,17,2,0,0,0,0,0,0,0,0,0,0,13677,31,143,52,10164,1,4,9,5,15,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
1,15272,32,167,44,13431,1,7,3,5,11,4,0,0,0,0,0,0,0,0,0,0,13133,32,165,40,9453,0,3,7,2,14,3,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
0,14171,33,156,48,11734,0,6,7,5,8,0,0,0,0,0,0,0,0,1,1,0,14183,32,171,44,11916,1,7,6,3,10,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0
0,11463,28,122,42,6723,1,2,6,0,152,2,0,0,0,0,0,0,0,0,0,0,14286,32,177,45,10716,0,6,2,6,20,1,0,0,0,0,0,0,0,1,1,0,30,0,0,0,0,0,0,0,1,0,0,0,0
1,15497,33,167,48,11963,0,7,2,8,8,2,0,0,0,0,0,0,0,1,1,0,12768,30,149,52,9751,1,2,7,5,10,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0
0,13373,32,151,42,10621,1,4,9,0,15,0,0,0,0,0,0,0,0,0,0,0,16284,32,198,36,13384,0,9,4,3,16,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
1,15295,31,154,48,13660,1,8,5,6,32,2,0,0,0,0,0,0,0,0,0,0,13264,29,122,32,13937,0,5,8,4,28,3,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
1,17317,34,170,60,18844,1,13,5,4,10,0,0,0,0,0,0,0,0,0,0,0,12685,28,128,32,13590,0,5,13,4,9,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
1,14600,32,208,40,9232,1,5,2,3,120,0,0,0,0,0,0,0,0,0,0,0,12314,32,139,60,7569,0,2,5,2,67,1,0,0,0,0,0,0,0,1,1,0,30,0,0,0,0,0,0,0,1,0,0,0,0
0,13116,29,117,40,11008,1,5,12,4,23,1,0,0,0,0,0,0,0,0,0,0,17191,33,172,48,14108,0,12,5,10,16,6,0,0,0,0,0,0,0,1,1,0,22,0,0,0,0,0,0,0,0,1,0,0,0
1,14478,32,145,44,10803,1,6,4,6,12,1,0,0,0,0,0,0,0,0,0,0,13633,32,173,48,10054,0,4,6,3,15,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
1,13599,32,200,32,11569,0,5,3,3,15,0,0,0,0,0,0,0,0,0,0,0,12562,30,126,40,10554,1,3,5,6,13,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
0,13332,29,100,36,15977,1,6,10,5,15,5,0,0,0,0,0,0,0,0,0,0,15952,30,169,20,15025,0,10,6,9,32,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
1,15204,31,174,40,13469,1,8,7,12,108,2,0,0,0,0,0,0,0,1,1,0,14129,28,142,24,13797,0,7,8,11,16,4,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0
0,12894,32,147,60,7968,0,3,5,1,4,1,0,0,0,0,0,0,0,0,0,0,13299,30,137,48,11811,1,5,3,4,9,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
1,12116,30,145,40,12462,0,3,6,1,20,0,0,0,0,0,0,0,0,1,1,0,14581,29,150,40,11814,1,6,3,5,72,14,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0
1,11847,31,105,52,12300,0,3,6,1,10,15,0,0,0,0,0,0,0,0,0,0,13785,32,154,32,10231,1,6,3,5,34,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
1,11842,29,148,27,12846,0,3,7,1,11,3,0,0,0,0,0,0,0,0,0,0,14023,31,170,36,10416,1,7,3,2,14,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
0,15621,31,136,32,15515,0,9,9,11,30,2,0,0,0,0,0,0,0,0,0,0,16027,30,141,28,15819,1,9,9,12,6,17,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
1,12874,33,162,36,11493,0,3,6,2,0,1,0,0,0,0,0,0,0,0,0,0,13733,35,166,52,7813,1,6,3,2,0,3,0,0,0,0,0,0,0,1,1,0,39,0,0,0,0,0,0,0,0,1,0,0,0
0,13541,33,149,32,12710,1,5,3,4,14,2,0,0,0,0,0,0,0,0,0,0,13014,33,182,52,7543,0,3,5,1,12,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1,13284,32,151,40,8766,1,5,3,4,11,3,0,0,0,0,0,0,0,0,0,0,12777,29,155,0,10993,0,3,5,1,15,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
0,11302,29,128,28,9239,0,2,10,0,14,1,0,0,0,0,0,0,0,1,1,0,15499,30,160,30,14364,1,10,2,9,16,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0
1,13466,32,161,47,8999,1,3,6,3,10,1,0,0,0,0,0,0,0,0,0,0,15270,32,182,56,13163,0,6,3,6,12,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
1,13076,30,180,48,10114,1,4,8,2,8,0,0,0,0,0,0,0,0,0,0,0,14371,34,170,40,13015,0,8,4,5,10,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1,14724,30,119,36,13188,0,9,5,7,11,0,0,0,0,0,0,0,0,0,0,0,13472,31,154,52,14156,1,5,9,3,10,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
1,12800,31,142,44,10584,1,3,6,2,11,1,0,0,0,0,0,0,0,0,0,0,12727,30,120,34,9973,0,6,3,3,15,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
1,18883,33,155,39,17366,1,15,5,21,0,1,0,0,0,0,0,0,0,0,0,0,13601,30,131,40,12583,0,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
0,13909,32,152,44,10152,1,5,6,3,0,2,0,0,0,0,0,0,0,0,0,0,14059,31,147,44,11374,0,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1,15144,32,162,36,12793,1,8,5,8,9,2,0,0,0,0,0,0,0,0,0,0,13001,30,139,36,12289,0,5,8,1,189,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
1,15217,32,171,32,15219,1,10,3,11,13,3,0,0,0,0,0,0,0,0,0,0,12306,30,129,42,12187,0,3,10,1,16,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
