,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,matchMin
0,KR_6445372589,True,14881,2256,34,6.8,195,68,12485,0,5,4,2,13,0,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,False,14072,3447,32,6.4,194,44,9382,1,4,5,3,12,3,0,0,,0,0,0,0,0,0,,0,0,30
1,KR_6446656899,False,13876,1646,30,6.0,177,48,13683,1,4,16,4,16,2,0,0,,0,0,0,0,0,0,,0,0,True,19176,6411,34,6.8,194,44,18051,0,16,4,11,24,3,0,0,,0,0,0,0,0,0,,0,1,31
2,KR_6442744345,True,16610,2975,32,6.4,198,36,14897,0,9,2,12,26,2,0,0,,0,0,0,0,0,0,,0,0,False,12370,1835,30,6.0,166,36,9620,1,2,9,1,12,1,0,0,,0,0,0,0,0,0,,0,0,17
3,KR_6446654483,False,13389,2679,32,6.4,201,48,6842,0,2,3,3,13,1,0,0,,0,0,0,0,0,0,,0,0,True,14429,3804,33,6.6,212,52,10292,1,3,2,2,16,3,0,0,,0,0,0,0,0,0,,0,0,36
4,KR_6446647567,True,19319,4719,33,6.6,180,61,18283,0,15,6,21,32,5,0,0,,0,0,0,0,0,0,,0,1,False,15651,1891,29,5.8,172,38,12816,1,6,15,9,36,1,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0,24
5,KR_6428867991,True,16940,2035,32,6.4,219,30,17788,1,10,4,11,15,3,0,0,,0,0,0,0,0,0,,0,0,False,13144,1389,30,6.0,171,41,10067,0,4,10,5,12,1,0,0,,0,0,0,0,0,0,,0,0,18
6,KR_6358986952,False,12765,2365,32,6.4,191,36,8310,0,2,9,2,0,3,0,0,,0,0,0,0,0,0,,0,0,True,16421,4195,32,6.4,190,48,13004,1,9,2,11,0,2,0,0,,0,0,0,0,0,0,,0,0,32
7,KR_6444386488,False,13410,2580,32,6.4,178,46,8114,0,3,7,3,12,1,0,0,,0,0,0,0,0,0,,0,0,True,16181,3541,32,6.4,224,56,10482,1,7,3,5,15,1,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,31
8,KR_6446460172,True,14230,4240,33,6.6,194,52,12063,1,4,1,3,18,1,0,0,,0,0,0,0,0,0,,0,0,False,12418,2823,32,6.4,166,40,9245,0,1,4,2,17,0,0,0,,0,0,0,0,0,0,,0,0,30
9,KR_6371575051,True,15697,1812,32,6.4,199,31,10289,1,5,5,6,0,1,0,0,,0,0,0,0,0,0,,0,0,False,14590,3060,32,6.4,202,52,9429,0,5,5,4,0,1,0,0,,0,0,0,0,0,0,,0,0,27
