,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds
0,KR_6357542978,False,20814,3334,37,9.25,300,63,20216,1,13,12,11,0,6,0,0,,0,0,0,0,0,0,,0,0,True,31817,3052,52,8.666666666666666,328,76,34549,0,12,13,10,0,10,0,0,,0,0,0,0,0,1,"EARTH_DRAGON,FIRE_DRAGON",2,1
0,KR_6414364855,True,19372,1872,33,8.25,240,44,22165,0,11,13,11,28,8,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,False,30413,4118,54,9.0,420,84,37224,1,13,11,15,27,8,0,0,,0,0,0,0,0,0,,0,0
0,KR_6444492668,True,18253,3528,37,9.25,350,67,15864,0,3,2,3,32,10,0,0,,0,0,0,0,0,0,,0,1,False,23347,5252,51,8.5,356,76,14781,1,2,3,3,25,9,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0
0,KR_6433557136,False,15830,1305,33,8.25,245,71,17819,0,2,17,1,23,2,0,0,,0,0,0,0,0,0,,0,0,True,34229,5725,50,8.333333333333334,349,80,29527,1,17,2,21,74,7,1,0,BOT_LANE,3,1,1,1,0,1,CHEMTECH_DRAGON,1,1
0,KR_6446116868,True,20248,3423,37,9.25,311,74,16261,0,9,8,8,31,6,0,0,,0,0,0,0,0,0,,0,1,False,26996,4081,50,8.333333333333334,303,61,25034,1,8,9,8,29,5,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,0
0,KR_6446539948,False,22317,2607,36,9.0,323,60,19862,0,11,15,10,31,10,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,True,32066,2731,51,8.5,344,92,26557,1,15,11,16,27,4,0,0,,1,0,1,0,0,1,CHEMTECH_DRAGON,1,1
0,KR_6443290850,True,20086,2191,36,9.0,305,72,20718,0,9,10,8,17,11,0,0,,0,0,0,0,0,0,,0,1,False,27164,3819,50,8.333333333333334,317,72,24568,1,10,9,13,31,7,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0
0,KR_6399293215,False,16995,1945,32,8.0,274,74,14239,0,4,13,7,20,7,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,0,True,31641,3796,52,8.666666666666666,399,72,27267,1,13,4,4,204,6,1,0,MID_LANE,3,1,2,0,0,0,,0,1
0,KR_6376464250,True,18178,3338,34,8.5,265,74,21933,0,6,12,8,20,10,0,0,,0,0,0,0,0,0,,0,0,False,31095,4520,52,8.666666666666666,384,68,29181,1,12,6,11,34,5,1,0,TOP_LANE,1,0,1,0,0,1,EARTH_DRAGON,1,1
0,KR_6446045149,True,28274,3579,36,9.0,261,88,21068,1,18,7,17,21,8,1,0,BOT_LANE,4,1,1,2,0,1,"EARTH_DRAGON,AIR_DRAGON",2,0,False,27535,1685,50,8.333333333333334,340,52,29379,0,7,18,9,21,2,0,0,,0,0,0,0,0,0,,0,1
