blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,matchMin,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
0,27068,45,317,67,28185,1,13,12,11,0,6,0,0,0,0,0,0,0,0,0,0,25563,44,311,72,26580,0,12,13,10,0,10,0,0,0,0,0,0,0,1,2,1,32,0,0,0,0,0,0,0,1,0,1,0,0
1,24568,43,333,44,33906,0,11,13,11,28,8,0,0,0,0,0,0,0,1,1,0,25217,44,327,84,25483,1,13,11,15,27,8,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0
1,21655,44,370,67,17852,0,3,2,3,32,10,0,0,0,0,0,0,0,0,0,1,19945,44,336,76,12793,1,2,3,3,25,9,0,0,0,0,0,0,0,1,1,0,35,0,0,0,0,0,0,1,0,0,0,0,0
0,18562,39,265,71,20847,0,2,17,1,23,2,0,0,0,0,0,0,0,0,0,0,31497,44,329,80,26499,1,17,2,21,74,7,1,0,3,1,1,1,0,1,1,1,17,0,0,0,0,0,0,0,0,0,0,1,0
1,24600,44,317,74,19366,0,9,8,8,31,6,0,0,0,0,0,0,0,0,0,1,22644,43,297,61,21929,1,8,9,8,29,5,0,0,0,0,0,0,0,1,1,0,32,0,0,0,0,0,0,0,0,1,0,0,0
0,26051,43,346,60,22362,0,11,15,10,31,10,1,0,1,0,0,1,0,0,0,0,28332,44,321,92,24057,1,15,11,16,27,4,0,0,1,0,1,0,0,1,1,1,32,0,0,0,0,0,0,0,0,0,0,1,0
1,23549,43,317,72,22768,0,9,10,8,17,11,0,0,0,0,0,0,0,0,0,1,23701,43,305,72,22518,1,10,9,13,31,7,0,0,0,0,0,0,0,1,1,0,32,0,0,0,0,0,0,0,0,0,0,0,1
0,20550,39,288,74,18603,0,4,13,7,20,7,0,0,0,0,0,0,0,1,1,0,28086,45,385,72,22903,1,13,4,4,204,6,1,0,3,1,2,0,0,0,0,1,22,0,0,0,0,0,1,0,0,0,0,0,0
1,21504,41,283,74,24736,0,6,12,8,20,10,0,0,0,0,0,0,0,0,0,0,27769,45,366,68,26378,1,12,6,11,34,5,1,0,1,0,1,0,0,1,1,1,40,0,0,0,0,0,0,0,0,0,1,0,0
1,33157,46,335,88,28382,1,18,7,17,21,8,1,0,4,1,1,2,0,1,2,0,22652,40,266,52,22065,0,7,18,9,21,2,0,0,0,0,0,0,0,0,0,1,17,0,0,1,1,0,0,0,0,0,0,0,0
0,25280,45,314,72,28322,1,12,12,19,28,5,0,0,0,0,0,0,0,0,0,0,25511,46,325,96,30082,0,12,12,7,25,6,0,0,0,0,0,0,0,1,2,1,28,0,0,0,0,0,0,0,1,0,0,1,0
1,27770,45,372,76,33213,0,15,8,15,21,8,0,0,0,0,0,0,0,1,1,0,22707,44,315,56,23170,1,8,15,5,42,4,0,0,0,0,0,0,0,0,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0
0,20580,42,320,87,14529,0,1,15,0,22,4,0,0,0,0,0,0,0,0,0,0,29212,46,378,74,22464,1,15,1,19,22,6,1,0,1,0,0,1,0,1,1,0,21,0,0,0,0,0,0,0,1,0,0,0,0
0,21994,44,322,68,21791,0,8,19,5,21,5,0,0,0,0,0,0,0,1,1,0,30994,45,356,80,28476,1,19,8,24,22,7,1,0,2,1,1,0,0,0,0,1,29,0,0,0,1,0,0,0,0,0,0,0,0
1,25345,44,335,66,19945,1,7,5,9,39,11,1,0,1,1,0,0,0,0,0,0,22767,44,337,89,16666,0,5,7,3,28,9,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0
1,26971,44,335,72,26562,1,13,11,19,21,6,1,0,1,0,0,1,0,0,0,1,23403,44,319,64,20812,0,11,13,9,20,2,0,0,0,0,0,0,0,1,1,0,31,0,0,0,0,0,0,1,0,0,0,0,0
0,23642,45,359,84,25445,0,7,12,7,63,11,0,0,0,0,0,0,0,1,1,0,26287,45,324,72,23542,1,12,7,12,34,11,0,0,0,0,0,0,0,0,0,1,35,0,0,0,1,0,0,0,0,0,0,0,0
0,29779,46,310,90,25406,0,16,13,17,37,7,1,0,1,0,1,0,0,0,0,0,25789,43,290,80,30121,1,13,16,13,25,2,0,0,1,0,0,1,0,1,1,1,31,0,0,0,0,0,0,1,0,0,0,0,0
