blueWins,blueTotalGolds,blueTotalLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redTotalLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,matchMin,blueWATER_DRAGON,blueFIRE_DRAGON,blueAIR_DRAGON,blueEARTH_DRAGON,blueCHEMTECH_DRAGON,blueHEXTECH_DRAGON,redWATER_DRAGON,redFIRE_DRAGON,redAIR_DRAGON,redEARTH_DRAGON,redCHEMTECH_DRAGON,redHEXTECH_DRAGON
0,13195,33,159,67,9572,0,2,5,1,11,1,0,0,0,0,0,0,0,0,0,1,13919,33,191,48,11486,1,5,2,2,11,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
1,14237,31,156,36,13768,0,7,8,4,14,1,0,0,0,0,0,0,0,0,0,0,15640,32,185,52,15822,1,8,7,2,10,2,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0
0,14014,31,177,44,10302,0,4,6,3,10,5,0,0,0,0,0,0,0,0,0,0,14082,31,149,48,10655,1,6,4,5,16,3,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
1,17213,34,187,39,15423,0,12,7,9,13,2,0,0,0,0,0,0,0,0,0,0,15344,32,185,52,11297,1,7,12,2,13,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
0,13669,31,138,36,13262,1,6,6,4,12,1,0,0,0,0,0,0,0,0,0,0,14611,33,175,64,14641,0,6,6,4,14,0,0,0,0,0,0,0,0,1,1,0,24,0,0,0,0,0,0,1,0,0,0,0,0
1,14812,33,195,48,10790,1,4,6,2,12,2,0,0,0,0,0,0,0,0,0,0,13757,31,162,40,9446,0,6,4,5,170,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
1,14677,33,200,56,8860,1,5,2,1,27,1,0,0,0,0,0,0,0,1,1,1,12724,32,171,44,7323,0,2,5,1,14,7,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0
1,14294,31,163,35,9908,0,5,4,6,14,3,0,0,0,0,0,0,0,0,0,0,14052,32,204,44,10809,1,4,5,3,24,2,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
1,12641,30,165,48,8990,0,2,7,1,13,4,0,0,0,0,0,0,0,0,0,0,15283,33,206,44,14160,1,7,2,4,13,4,0,0,0,0,0,0,0,1,1,0,35,0,0,0,0,0,0,0,0,0,0,1,0
0,14346,32,175,48,14284,0,5,7,2,13,1,0,0,0,0,0,0,0,0,0,0,15566,35,188,48,14522,1,7,5,7,9,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
0,12437,30,135,48,7725,1,2,7,2,64,0,0,0,0,0,0,0,0,0,0,0,15391,33,181,48,11958,0,7,2,8,52,2,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
0,13670,32,193,48,10582,0,2,5,2,8,0,0,0,0,0,0,0,0,0,0,0,14290,33,190,48,9793,1,5,2,3,10,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
1,14339,31,193,40,12149,0,5,7,5,10,0,0,0,0,0,0,0,0,0,0,0,15136,32,164,44,10649,1,7,5,8,10,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
1,16057,34,181,43,13202,1,11,2,8,35,1,0,0,0,0,0,0,0,1,1,0,12984,31,183,40,12717,0,2,11,2,11,10,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0
0,14119,33,191,40,13008,1,5,4,5,36,1,0,0,0,0,0,0,0,0,0,0,14002,32,176,44,10663,0,4,5,5,6,8,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
0,13592,29,162,44,13097,1,5,7,8,12,0,0,0,0,0,0,0,0,0,0,0,15125,33,195,32,16218,0,7,5,8,10,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
1,14080,33,150,52,16858,1,7,1,6,0,3,0,0,0,0,0,0,0,1,1,0,11822,29,134,40,10070,0,1,7,2,0,1,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0
0,14064,33,174,48,10613,1,4,4,4,19,0,0,0,0,0,0,0,0,0,0,0,13895,31,192,44,9106,0,4,4,2,16,2,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
1,13864,33,204,48,10840,0,2,2,3,19,2,0,0,0,0,0,0,0,1,1,0,12778,30,167,56,7431,1,2,2,2,25,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0
0,14130,33,219,48,9434,0,2,4,3,13,1,0,0,0,0,0,0,0,0,0,0,13985,31,179,56,10070,1,4,2,4,10,1,0,0,0,0,0,0,0,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,1
0,15669,31,155,32,16225,0,10,11,9,11,1,0,0,0,0,0,0,0,0,0,0,16102,31,163,52,16542,1,11,10,8,321,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
1,15725,33,171,44,12518,1,6,1,7,11,1,0,0,0,0,0,0,0,0,0,0,13251,30,165,56,9797,0,1,6,2,10,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0
1,14148,33,176,46,12542,0,3,8,2,21,14,0,0,0,0,0,0,0,1,1,0,15538,32,168,44,13681,1,8,3,12,47,2,0,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,0
1,16844,35,210,60,13433,1,9,2,10,13,2,0,0,0,0,0,0,0,1,1,0,12845,31,173,48,6550,0,2,9,2,102,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0
0,12658,30,143,36,9866,1,4,5,5,12,1,0,0,0,0,0,0,0,0,0,0,14246,33,200,52,13335,0,5,4,1,11,2,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
0,13819,31,150,60,8515,1,5,5,3,34,2,0,0,0,0,0,0,0,0,0,0,14563,33,203,44,11120,0,5,5,2,14,11,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
0,12491,34,145,76,7645,0,1,3,1,24,0,0,0,0,0,0,0,0,0,0,0,14524,34,213,44,11115,1,3,1,2,13,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
