,gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueTotalDamageToChampion,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redTotalDamageToChampion,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds
0,KR_6443448479,False,18439,2176,35,8.75,260,72,22341,0,6,12,5,23,3,0,0,,0,0,0,0,0,0,,0,0,True,28013,4329,53,8.833333333333334,366,63,32455,1,12,6,9,100,7,0,0,,0,0,0,0,0,0,,0,1
0,KR_6444379569,True,20855,5435,37,9.25,292,73,23211,0,10,11,6,128,8,1,0,TOP_LANE,1,0,1,0,0,0,,0,0,False,27986,2231,51,8.5,283,76,30354,1,11,10,10,46,4,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0
0,KR_6434226102,False,20026,1586,36,9.0,316,80,17694,0,7,9,9,23,5,0,0,,0,0,0,0,0,0,,0,0,True,29302,4782,52,8.666666666666666,373,84,29930,1,9,7,9,21,9,1,0,BOT_LANE,1,0,0,1,0,1,AIR_DRAGON,1,1
0,KR_6387406324,True,21623,2943,35,8.75,295,72,23180,1,15,8,20,28,5,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,False,26129,4724,49,8.166666666666666,345,80,16771,0,8,15,5,21,2,0,0,,0,0,0,0,0,0,,0,1
0,KR_6436337808,True,19684,2189,35,8.75,277,68,24375,0,11,13,7,23,18,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0,False,28294,4159,50,8.333333333333334,291,51,31094,1,13,11,14,73,3,0,0,,0,0,0,0,0,0,,0,1
0,KR_6442733196,False,20419,1649,35,8.75,270,64,24352,0,14,15,9,233,7,0,0,,0,0,0,0,0,0,,0,1,True,30104,4479,47,7.833333333333333,312,43,32997,1,15,14,23,26,11,1,0,TOP_LANE,2,0,1,1,0,0,,0,0
0,KR_6434759921,False,18697,1107,35,8.75,262,72,21003,0,7,13,3,20,8,0,0,,0,0,0,0,0,0,,0,1,True,29838,3938,53,8.833333333333334,348,92,29748,1,13,7,10,23,2,0,0,,0,0,0,0,0,1,WATER_DRAGON,1,0
0,KR_6438203214,False,22545,1857,36,9.0,284,40,18934,1,13,9,12,21,4,0,0,,0,0,0,0,0,0,,0,1,True,28729,4003,50,8.333333333333334,341,80,24541,0,9,13,7,25,5,1,0,TOP_LANE,2,0,1,1,0,1,AIR_DRAGON,1,0
0,KR_6438939548,False,15044,1884,32,8.0,210,44,16946,1,4,17,4,21,1,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,True,31374,3908,53,8.833333333333334,316,56,32990,0,17,4,9,17,4,1,0,TOP_LANE,1,0,1,0,0,0,,0,1
0,KR_6417293634,True,22907,4697,38,9.5,289,84,25577,1,16,10,8,25,13,0,0,,0,0,0,0,0,0,,0,0,False,26010,3230,49,8.166666666666666,317,56,32176,0,10,16,8,54,4,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1
0,KR_6437799455,True,22496,2061,37,9.25,302,63,22459,1,15,8,19,36,4,0,0,,0,0,0,0,0,0,,0,0,False,26220,2350,49,8.166666666666666,313,64,22722,0,8,15,6,23,5,0,0,,0,0,0,0,0,1,AIR_DRAGON,1,1
0,KR_6443543907,False,16682,2167,35,8.75,311,60,15191,0,2,15,2,35,13,0,0,,0,0,0,0,0,0,,0,1,True,30244,5884,51,8.5,343,64,28208,1,15,2,15,196,15,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0
0,KR_6429790751,True,19866,5091,36,9.0,322,52,16273,1,10,5,10,75,7,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0,False,26033,6498,51,8.5,307,68,20654,0,5,10,4,26,5,0,0,,0,0,0,0,0,0,,0,1
0,KR_6445944345,True,20656,6326,37,9.25,280,84,21463,0,11,9,10,30,4,1,0,TOP_LANE,1,0,1,0,0,1,WATER_DRAGON,1,0,False,26351,4641,48,8.0,242,56,31573,1,9,11,14,24,11,0,0,,0,0,0,0,0,0,,0,1
0,KR_6430732042,False,19158,3713,37,9.25,263,64,22900,1,8,18,8,18,3,0,0,,0,0,0,0,0,0,,0,0,True,32001,5571,49,8.166666666666666,255,76,34948,0,18,8,20,21,4,1,0,BOT_LANE,1,0,0,1,0,1,"FIRE_DRAGON,EARTH_DRAGON",2,1
0,KR_6419340669,False,19447,2317,35,8.75,276,64,21040,0,11,20,10,20,1,0,0,,0,0,0,0,0,0,,0,0,True,32410,4990,52,8.666666666666666,288,68,39627,1,20,11,11,15,2,1,0,BOT_LANE,1,0,0,1,0,1,AIR_DRAGON,1,1
0,KR_6355337261,True,22535,2760,37,9.25,287,52,20323,0,15,13,18,0,7,0,0,,0,0,0,0,0,1,"FIRE_DRAGON,WATER_DRAGON",2,1,False,29450,2835,50,8.333333333333334,287,76,34179,1,13,15,13,0,4,1,0,TOP_LANE,1,0,1,0,0,0,,0,0
0,KR_6422094091,True,22354,3074,37,9.25,292,88,29093,0,14,5,15,29,1,1,0,BOT_LANE,1,0,0,1,0,1,CHEMTECH_DRAGON,1,0,False,25069,2974,51,8.5,297,63,28702,1,5,14,5,12,2,0,0,,0,0,0,0,0,0,,0,1
0,KR_6439619886,False,17513,2003,35,8.75,245,68,12225,0,5,8,3,23,8,1,0,BOT_LANE,1,0,0,1,0,0,,0,0,True,27480,4260,52,8.666666666666666,332,64,24961,1,8,5,7,22,7,0,0,,0,0,0,0,0,0,,0,1
0,KR_6438295503,False,22274,3209,36,9.0,310,72,20058,1,13,9,9,18,4,1,0,MID_LANE,1,1,0,0,0,1,CHEMTECH_DRAGON,1,0,True,27958,6223,52,8.666666666666666,273,80,31344,0,9,13,9,123,1,0,0,,0,0,0,0,0,0,,0,1
0,KR_6411071282,True,26049,3264,37,9.25,285,64,28343,0,20,13,23,24,3,1,0,TOP_LANE,1,0,1,0,0,1,HEXTECH_DRAGON,1,1,False,28530,4390,48,8.0,262,60,32178,1,13,20,12,19,2,0,0,,1,1,0,0,0,0,,0,0
0,KR_6443197709,False,21429,2144,36,9.0,314,56,24617,1,11,18,7,20,5,0,0,,0,0,0,0,0,0,,0,0,True,31598,4913,53,8.833333333333334,296,96,33782,0,18,11,13,46,4,1,0,BOT_LANE,1,0,0,1,0,1,EARTH_DRAGON,1,1
0,KR_6425641802,True,20970,3020,37,9.25,287,76,22546,1,14,5,15,90,2,0,0,,0,0,0,0,0,1,"AIR_DRAGON,FIRE_DRAGON",2,1,False,25417,3627,52,8.666666666666666,293,64,24565,0,5,14,2,24,5,0,0,,0,0,0,0,0,0,,0,0
0,KR_6437031647,True,24079,2184,40,10.0,305,84,25498,1,19,8,11,20,3,1,0,TOP_LANE,1,0,1,0,0,0,,0,1,False,25170,1485,49,8.166666666666666,282,76,24291,0,8,19,4,20,7,0,0,,0,0,0,0,0,1,CHEMTECH_DRAGON,1,0
0,KR_6443929238,False,20265,1740,35,8.75,296,60,20510,0,9,7,8,38,22,0,0,,0,0,0,0,0,0,,0,1,True,25442,6162,51,8.5,295,76,19040,1,7,9,7,61,8,0,0,,0,0,0,0,0,1,EARTH_DRAGON,1,0
0,KR_6442942442,False,20799,3104,36,9.0,269,68,23757,1,10,13,9,23,3,0,0,,0,0,0,0,0,0,,0,1,True,29764,3744,54,9.0,367,88,30769,0,13,10,18,81,7,1,0,BOT_LANE,1,0,0,1,0,1,WATER_DRAGON,1,0
0,KR_6446728761,False,15639,3004,34,8.5,292,48,13345,0,1,4,2,151,8,0,0,,0,0,0,0,0,0,,0,0,True,24342,3647,47,7.833333333333333,331,76,20291,1,4,1,5,24,6,0,0,,0,0,0,0,0,1,HEXTECH_DRAGON,1,1
0,KR_6396979039,False,18886,1826,35,8.75,269,80,19324,0,8,8,10,17,3,0,0,,0,0,0,0,0,0,,0,1,True,29645,3850,51,8.5,398,64,25067,1,8,8,12,22,3,1,0,TOP_LANE,1,0,1,0,0,1,AIR_DRAGON,1,0
